,Memory usage,RangeBF,SuRF Base,SuRF Real,SuRF Hash,SuRF Mixed,FST
0,12534,1.0,,,,,
1,75034,0.99979,,,,,
2,137534,0.996402,,,,,
3,200034,0.980058,,,,,
4,262534,0.945289,,,,,
5,325034,0.891191,,,,,
6,387534,0.83172,,,,,
7,450034,0.765489,,,,,
0,221093,,0.973911,,,,
0,221093,,,0.973911,,,
1,233597,,,0.973911,,,
2,246101,,,0.973427,,,
3,258597,,,0.973427,,,
4,271101,,,0.945611,,,
5,283597,,,0.930881,,,
6,296101,,,0.922136,,,
7,308597,,,0.917312,,,
8,321101,,,0.914537,,,
0,221093,,,,0.973911,,
1,233597,,,,0.973911,,
2,246101,,,,0.973911,,
3,258597,,,,0.973911,,
4,271101,,,,0.973911,,
5,283597,,,,0.973911,,
6,296101,,,,0.973911,,
7,308597,,,,0.973911,,
8,321101,,,,0.973911,,
0,221093,,,,,0.973911,
1,246101,,,,,0.973911,
2,271101,,,,,0.973427,
3,296101,,,,,0.973427,
4,321101,,,,,0.945611,
5,346101,,,,,0.930881,
6,371101,,,,,0.922136,
7,396101,,,,,0.917312,
8,421101,,,,,0.914537,
0,869777,,,,,,0.00730881
