,Memory usage,RangeBF,SuRF Base,SuRF Real,SuRF Hash,SuRF Mixed,FST
0,12534,0.993114,,,,,
1,75034,0.25095,,,,,
2,137534,0.125894,,,,,
3,200034,0.0871613,,,,,
4,262534,0.0687298,,,,,
5,325034,0.0569496,,,,,
6,387534,0.0483571,,,,,
7,450034,0.0404798,,,,,
0,221093,,0.49861,,,,
0,221093,,,0.49861,,,
1,233597,,,0.49861,,,
2,246101,,,0.494779,,,
3,258597,,,0.494779,,,
4,271101,,,0.315185,,,
5,283597,,,0.22694,,,
6,296101,,,0.177418,,,
7,308597,,,0.150394,,,
8,321101,,,0.136326,,,
0,221093,,,,0.49861,,
1,233597,,,,0.49861,,
2,246101,,,,0.49861,,
3,258597,,,,0.49861,,
4,271101,,,,0.49861,,
5,283597,,,,0.49861,,
6,296101,,,,0.49861,,
7,308597,,,,0.49861,,
8,321101,,,,0.49861,,
0,221093,,,,,0.49861,
1,246101,,,,,0.49861,
2,271101,,,,,0.494779,
3,296101,,,,,0.494779,
4,321101,,,,,0.315185,
5,346101,,,,,0.22694,
6,371101,,,,,0.177418,
7,396101,,,,,0.150394,
8,421101,,,,,0.136326,
0,869777,,,,,,0.017185
