,Memory usage,RangeBF,SuRF Base,SuRF Real,SuRF Hash,SuRF Mixed,FST
0,12534,0.956586,,,,,
1,75034,0.153099,,,,,
2,137534,0.0266485,,,,,
3,200034,0.0144046,,,,,
4,262534,0.00610195,,,,,
5,325034,0.00351112,,,,,
6,387534,0.00263084,,,,,
7,450034,0.00178057,,,,,
0,220527,,0.0907891,,,,
0,220527,,,0.0907891,,,
1,233031,,,0.0907891,,,
2,245535,,,0.090779,,,
3,258031,,,0.090779,,,
4,270535,,,0.046765,,,
5,283039,,,0.028069,,,
6,295535,,,0.0143246,,,
7,308039,,,0.00724232,,,
8,320535,,,0.00359115,,,
0,220527,,,,0.0907891,,
1,233031,,,,0.0907891,,
2,245535,,,,0.0907891,,
3,258031,,,,0.0907891,,
4,270535,,,,0.0907891,,
5,283039,,,,0.0907891,,
6,295535,,,,0.0907891,,
7,308039,,,,0.0907891,,
8,320535,,,,0.0907891,,
0,220527,,,,,0.0907891,
1,245535,,,,,0.0907891,
2,270535,,,,,0.090779,
3,295535,,,,,0.090779,
4,320535,,,,,0.046765,
5,345535,,,,,0.028069,
6,370535,,,,,0.0143246,
7,395535,,,,,0.00724232,
8,420535,,,,,0.00359115,
0,871006,,,,,,0.0
