,Memory usage,RangeBF,SuRF Base,SuRF Real,SuRF Hash,SuRF Mixed,FST
0,12534,0.992388,,,,,
1,75034,0.30288,,,,,
2,137534,0.169938,,,,,
3,200034,0.124253,,,,,
4,262534,0.104637,,,,,
5,325034,0.0925295,,,,,
6,387534,0.084565,,,,,
7,450034,0.0763933,,,,,
0,220878,,0.500999,,,,
0,220878,,,0.500999,,,
1,233382,,,0.500999,,,
2,245886,,,0.496732,,,
3,258390,,,0.496732,,,
4,270886,,,0.312046,,,
5,283390,,,0.225047,,,
6,295886,,,0.17639,,,
7,308382,,,0.150425,,,
8,320886,,,0.137551,,,
0,220878,,,,0.500999,,
1,233382,,,,0.500999,,
2,245886,,,,0.500999,,
3,258390,,,,0.500999,,
4,270886,,,,0.500999,,
5,283390,,,,0.500999,,
6,295886,,,,0.500999,,
7,308382,,,,0.500999,,
8,320886,,,,0.500999,,
0,220878,,,,,0.500999,
1,245886,,,,,0.500999,
2,270886,,,,,0.496732,
3,295886,,,,,0.496732,
4,320886,,,,,0.312046,
5,345886,,,,,0.225047,
6,370886,,,,,0.17639,
7,395886,,,,,0.150425,
8,420878,,,,,0.137551,
0,869231,,,,,,0.0188083
