,Memory usage,RangeBF,SuRF Base,SuRF Real,SuRF Hash,SuRF Mixed,FST
0,12534,0.994278,,,,,
1,75034,0.184074,,,,,
2,137534,0.0410964,,,,,
3,200034,0.0139356,,,,,
4,262534,0.00705282,,,,,
5,325034,0.00454182,,,,,
6,387534,0.00297119,,,,,
7,450034,0.00220088,,,,,
0,220878,,0.0194178,,,,
0,220878,,,0.0194178,,,
1,233382,,,0.0194178,,,
2,245886,,,0.0194178,,,
3,258390,,,0.0194178,,,
4,270886,,,0.0104142,,,
5,283390,,,0.00585234,,,
6,295886,,,0.00302121,,,
7,308382,,,0.00159064,,,
8,320886,,,0.000690276,,,
0,220878,,,,0.0194178,,
1,233382,,,,0.0194178,,
2,245886,,,,0.0194178,,
3,258390,,,,0.0194178,,
4,270886,,,,0.0194178,,
5,283390,,,,0.0194178,,
6,295886,,,,0.0194178,,
7,308382,,,,0.0194178,,
8,320886,,,,0.0194178,,
0,220878,,,,,0.0194178,
1,245886,,,,,0.0194178,
2,270886,,,,,0.0194178,
3,295886,,,,,0.0194178,
4,320886,,,,,0.0104142,
5,345886,,,,,0.00585234,
6,370886,,,,,0.00302121,
7,395886,,,,,0.00159064,
8,420878,,,,,0.000690276,
0,869231,,,,,,0.0
