,Memory usage,RangeBF,SuRF Base,SuRF Real,SuRF Hash,SuRF Mixed,FST
0,12534,1.0,,,,,
1,75034,1.0,,,,,
2,137534,1.0,,,,,
3,200034,1.0,,,,,
4,262534,1.0,,,,,
5,325034,1.0,,,,,
6,387534,1.0,,,,,
7,450034,1.0,,,,,
0,220878,,0.843162,,,,
0,220878,,,0.843162,,,
1,233382,,,0.843162,,,
2,245886,,,0.84295,,,
3,258390,,,0.84295,,,
4,270886,,,0.773234,,,
5,283390,,,0.740389,,,
6,295886,,,0.720863,,,
7,308382,,,0.71045,,,
8,320886,,,0.705273,,,
0,220878,,,,0.843162,,
1,233382,,,,0.843162,,
2,245886,,,,0.843162,,
3,258390,,,,0.843162,,
4,270886,,,,0.843162,,
5,283390,,,,0.843162,,
6,295886,,,,0.843162,,
7,308382,,,,0.843162,,
8,320886,,,,0.843162,,
0,220878,,,,,0.843162,
1,245886,,,,,0.843162,
2,270886,,,,,0.84295,
3,295886,,,,,0.84295,
4,320886,,,,,0.773234,
5,345886,,,,,0.740389,
6,370886,,,,,0.720863,
7,395886,,,,,0.71045,
8,420878,,,,,0.705273,
0,869231,,,,,,0.00880911
