,Memory usage,Absolutely Restrained Surfing Trie,Relatively Restrained Surfing Trie,Absolutely Restrained Splashy Trie,Relatively Restrained Splashy Trie,Bloomed Surfing Trie,Splashy Trie,Surfing Trie,Trie
0,9635434,0.0,,,,,,,
1,8710591,0.165485,,,,,,,
2,7798921,0.316893,,,,,,,
3,6889068,0.450221,,,,,,,
4,5983859,0.569503,,,,,,,
5,5090010,0.671933,,,,,,,
6,4221237,0.756402,,,,,,,
7,3400918,0.827072,,,,,,,
8,2666921,0.880427,,,,,,,
9,2061578,0.918048,,,,,,,
10,1619435,0.941268,,,,,,,
11,1347629,0.953442,,,,,,,
12,1215079,0.958755,,,,,,,
13,1167282,0.960185,,,,,,,
14,1155958,0.960497,,,,,,,
15,1154151,0.96054,,,,,,,
0,9635434,,0.0,,,,,,
1,9635212,,3.22647e-05,,,,,,
2,8745365,,0.155064,,,,,,
3,8234974,,0.23422,,,,,,
4,7531176,,0.347146,,,,,,
5,6893128,,0.439316,,,,,,
6,6388936,,0.507813,,,,,,
7,5826206,,0.577903,,,,,,
8,5252608,,0.642637,,,,,,
9,4590106,,0.712339,,,,,,
10,3705665,,0.796206,,,,,,
11,3273040,,0.833278,,,,,,
12,2626589,,0.881072,,,,,,
13,2079490,,0.916284,,,,,,
14,1596184,,0.942031,,,,,,
15,1201026,,0.959217,,,,,,
16,1154434,,0.96054,,,,,,
17,1153950,,0.96054,,,,,,
18,1153950,,0.96054,,,,,,
19,1153950,,0.96054,,,,,,
0,1153860,,,0.960551,,,,,
1,1153860,,,0.960551,,,,,
2,1154535,,,0.960207,,,,,
3,1158155,,,0.958959,,,,,
4,1172152,,,0.955077,,,,,
5,1217750,,,0.944892,,,,,
6,1343471,,,0.920661,,,,,
7,1634858,,,0.873049,,,,,
8,2240298,,,0.784386,,,,,
9,3271141,,,0.64966,,,,,
10,4742264,,,0.477108,,,,,
11,6447980,,,0.295007,,,,,
12,7981710,,,0.144503,,,,,
13,8999934,,,0.052387,,,,,
14,9474578,,,0.0125187,,,,,
15,9608107,,,0.00203267,,,,,
0,9635434,,,,0.0,,,,
1,9633205,,,,0.000225853,,,,
2,8722554,,,,0.16071,,,,
3,8070048,,,,0.26215,,,,
4,7332908,,,,0.377088,,,,
5,6660222,,,,0.472645,,,,
6,6108880,,,,0.542735,,,,
7,5520436,,,,0.614093,,,,
8,4894571,,,,0.682408,,,,
9,4149624,,,,0.755638,,,,
10,3256606,,,,0.835407,,,,
11,2821663,,,,0.868984,,,,
12,2121967,,,,0.914122,,,,
13,1596376,,,,0.94202,,,,
14,1277813,,,,0.956292,,,,
15,1154517,,,,0.960551,,,,
16,1153860,,,,0.960551,,,,
17,1153860,,,,0.960551,,,,
18,1153860,,,,0.960551,,,,
19,1153860,,,,0.960551,,,,
0,1154047,,,,,0.96053,,,
1,1179970,,,,,0.947925,,,
2,1205892,,,,,0.900593,,,
3,1231812,,,,,0.823125,,,
4,1257739,,,,,0.745367,,,
5,1283656,,,,,0.672804,,,
0,1153860,,,,,,0.960551,,
1,1153941,,,,,,0.96054,,
2,1153941,,,,,,0.96054,,
3,1153941,,,,,,0.96054,,
0,1153950,,,,,,,0.96054,
0,77083418,,,,,,,,0.0
