,Memory usage,Absolutely Restrained Surfing Trie,Relatively Restrained Surfing Trie,Absolutely Restrained Splashy Trie,Relatively Restrained Splashy Trie,Bloomed Surfing Trie,Splashy Trie,Surfing Trie,Trie
0,5848349,0.0,,,,,,,
1,4962920,0.0268856,,,,,,,
2,4143167,0.0652084,,,,,,,
3,3404936,0.122768,,,,,,,
4,2779910,0.193564,,,,,,,
5,2289770,0.272928,,,,,,,
6,1944170,0.346926,,,,,,,
7,1725991,0.406689,,,,,,,
8,1605541,0.448275,,,,,,,
9,1548400,0.472119,,,,,,,
10,1525460,0.483647,,,,,,,
11,1517631,0.487658,,,,,,,
12,1515377,0.48877,,,,,,,
13,1514729,0.489093,,,,,,,
14,1514574,0.489245,,,,,,,
15,1514556,0.489245,,,,,,,
0,5848349,,0.0,,,,,,
1,5848136,,0.0,,,,,,
2,4972590,,0.0232382,,,,,,
3,4474596,,0.0296742,,,,,,
4,3839314,,0.0651882,,,,,,
5,3289943,,0.109139,,,,,,
6,2896683,,0.144673,,,,,,
7,2501844,,0.202799,,,,,,
8,2170178,,0.267007,,,,,,
9,1863441,,0.343359,,,,,,
10,1653383,,0.419065,,,,,,
11,1595376,,0.445244,,,,,,
12,1541675,,0.472665,,,,,,
13,1523854,,0.483395,,,,,,
14,1517649,,0.487345,,,,,,
15,1515176,,0.488911,,,,,,
16,1514656,,0.489194,,,,,,
17,1514592,,0.489204,,,,,,
18,1514546,,0.489245,,,,,,
19,1514546,,0.489245,,,,,,
0,1466893,,,0.504643,,,,,
1,1466893,,,0.504643,,,,,
2,1517953,,,0.489497,,,,,
3,1677062,,,0.459005,,,,,
4,2011517,,,0.408497,,,,,
5,2557406,,,0.337823,,,,,
6,3292567,,,0.252801,,,,,
7,4068249,,,0.171003,,,,,
8,4761522,,,0.102349,,,,,
9,5284435,,,0.052003,,,,,
10,5601415,,,0.0221571,,,,,
11,5756926,,,0.00712301,,,,,
12,5819162,,,0.00216216,,,,,
13,5839735,,,0.000666835,,,,,
14,5846148,,,0.000161657,,,,,
15,5848066,,,0.0,,,,,
0,5848349,,,,0.0,,,,
1,5845888,,,,0.0,,,,
2,4961511,,,,0.0260975,,,,
3,4312741,,,,0.0359081,,,,
4,3658397,,,,0.074827,,,,
5,3101680,,,,0.126992,,,,
6,2676034,,,,0.176125,,,,
7,2301644,,,,0.242576,,,,
8,1976538,,,,0.313433,,,,
9,1699016,,,,0.398353,,,,
10,1550425,,,,0.459348,,,,
11,1513372,,,,0.478101,,,,
12,1479429,,,,0.496903,,,,
13,1470123,,,,0.502612,,,,
14,1467787,,,,0.504107,,,,
15,1466993,,,,0.504592,,,,
16,1466911,,,,0.504632,,,,
17,1466893,,,,0.504643,,,,
18,1466893,,,,0.504643,,,,
19,1466893,,,,0.504643,,,,
0,1514631,,,,,0.489245,,,
1,1515599,,,,,0.486678,,,
2,1516577,,,,,0.483425,,,
3,1517555,,,,,0.480899,,,
4,1518532,,,,,0.477727,,,
5,1519510,,,,,0.473918,,,
0,1466893,,,,,,0.504643,,
1,1485287,,,,,,0.499338,,
2,1499449,,,,,,0.494943,,
3,1500234,,,,,,0.49466,,
0,1514546,,,,,,,0.489245,
0,46786739,,,,,,,,0.0
