,Memory usage,Absolutely Restrained Surfing Trie,Relatively Restrained Surfing Trie,Absolutely Restrained Splashy Trie,Relatively Restrained Splashy Trie,Bloomed Surfing Trie,Splashy Trie,Surfing Trie,Trie
0,5848349,0.0,,,,,,,
1,4962920,0.0,,,,,,,
2,4143167,0.0,,,,,,,
3,3404936,1.00002e-05,,,,,,,
4,2779910,2.00004e-05,,,,,,,
5,2289770,4.00008e-05,,,,,,,
6,1944170,0.000120002,,,,,,,
7,1725991,0.000460009,,,,,,,
8,1605541,0.000760015,,,,,,,
9,1548400,0.00268005,,,,,,,
10,1525460,0.00337007,,,,,,,
11,1517631,0.00423008,,,,,,,
12,1515377,0.00913018,,,,,,,
13,1514729,0.0107502,,,,,,,
14,1514574,0.0109402,,,,,,,
15,1514556,0.0110102,,,,,,,
0,5848349,,0.0,,,,,,
1,5848136,,0.0,,,,,,
2,4972590,,0.0,,,,,,
3,4474596,,0.0,,,,,,
4,3839314,,0.0,,,,,,
5,3289943,,0.0,,,,,,
6,2896683,,0.0,,,,,,
7,2501844,,0.0,,,,,,
8,2170178,,1.00002e-05,,,,,,
9,1863441,,1.00002e-05,,,,,,
10,1653383,,2.00004e-05,,,,,,
11,1595376,,2.00004e-05,,,,,,
12,1541675,,6.00012e-05,,,,,,
13,1523854,,0.000200004,,,,,,
14,1517649,,0.000820016,,,,,,
15,1515176,,0.00154003,,,,,,
16,1514656,,0.00342007,,,,,,
17,1514592,,0.00537011,,,,,,
18,1514546,,0.0124402,,,,,,
19,1514546,,0.0124402,,,,,,
0,1466893,,,0.0124902,,,,,
1,1466893,,,0.0124902,,,,,
2,1517953,,,0.0124902,,,,,
3,1677062,,,0.0124902,,,,,
4,2011517,,,0.0124802,,,,,
5,2557406,,,0.0124702,,,,,
6,3292567,,,0.0124602,,,,,
7,4068249,,,0.0123702,,,,,
8,4761522,,,0.0120502,,,,,
9,5284435,,,0.0117602,,,,,
10,5601415,,,0.0098202,,,,,
11,5756926,,,0.00909018,,,,,
12,5819162,,,0.00843017,,,,,
13,5839735,,,0.00335007,,,,,
14,5846148,,,0.00169003,,,,,
15,5848066,,,0.00151003,,,,,
0,5848349,,,,0.0,,,,
1,5845888,,,,0.0,,,,
2,4961511,,,,0.0,,,,
3,4312741,,,,0.0,,,,
4,3658397,,,,0.0,,,,
5,3101680,,,,0.0,,,,
6,2676034,,,,0.0,,,,
7,2301644,,,,1.00002e-05,,,,
8,1976538,,,,1.00002e-05,,,,
9,1699016,,,,2.00004e-05,,,,
10,1550425,,,,4.00008e-05,,,,
11,1513372,,,,6.00012e-05,,,,
12,1479429,,,,0.000270005,,,,
13,1470123,,,,0.000820016,,,,
14,1467787,,,,0.00149003,,,,
15,1466993,,,,0.0049901,,,,
16,1466911,,,,0.00967019,,,,
17,1466893,,,,0.0124902,,,,
18,1466893,,,,0.0124902,,,,
19,1466893,,,,0.0124902,,,,
0,1514631,,,,,0.0124402,,,
1,1515599,,,,,0.000580012,,,
2,1516577,,,,,0.000280006,,,
3,1517555,,,,,0.000130003,,,
4,1518532,,,,,9.00018e-05,,,
5,1519510,,,,,7.00014e-05,,,
0,1466893,,,,,,0.0124902,,
1,1485287,,,,,,0.0124402,,
2,1499449,,,,,,0.0124402,,
3,1500234,,,,,,0.0124402,,
0,1514546,,,,,,,0.0124402,
0,46786739,,,,,,,,0.0
