,Memory usage,Absolutely Restrained Surfing Trie,Relatively Restrained Surfing Trie,Absolutely Restrained Splashy Trie,Relatively Restrained Splashy Trie,Bloomed Surfing Trie,Splashy Trie,Surfing Trie,Trie
0,5848349,0.0,,,,,,,
1,4962920,0.170041,,,,,,,
2,4143167,0.3108,,,,,,,
3,3404936,0.427015,,,,,,,
4,2779910,0.513015,,,,,,,
5,2289770,0.572535,,,,,,,
6,1944170,0.609199,,,,,,,
7,1725991,0.629894,,,,,,,
8,1605541,0.64,,,,,,,
9,1548400,0.644141,,,,,,,
10,1525460,0.645356,,,,,,,
11,1517631,0.645806,,,,,,,
12,1515377,0.645863,,,,,,,
13,1514729,0.645896,,,,,,,
14,1514574,0.645896,,,,,,,
15,1514556,0.645896,,,,,,,
0,5848349,,0.0,,,,,,
1,5848136,,3.37606e-05,,,,,,
2,4972590,,0.166721,,,,,,
3,4474596,,0.245721,,,,,,
4,3839314,,0.353215,,,,,,
5,3289943,,0.439023,,,,,,
6,2896683,,0.49277,,,,,,
7,2501844,,0.543838,,,,,,
8,2170178,,0.583394,,,,,,
9,1863441,,0.615861,,,,,,
10,1653383,,0.635858,,,,,,
11,1595376,,0.640607,,,,,,
12,1541675,,0.644422,,,,,,
13,1523854,,0.645322,,,,,,
14,1517649,,0.64575,,,,,,
15,1515176,,0.645874,,,,,,
16,1514656,,0.645896,,,,,,
17,1514592,,0.645896,,,,,,
18,1514546,,0.645896,,,,,,
19,1514546,,0.645896,,,,,,
0,1466893,,,0.657713,,,,,
1,1466893,,,0.657713,,,,,
2,1517953,,,0.644535,,,,,
3,1677062,,,0.609266,,,,,
4,2011517,,,0.543467,,,,,
5,2557406,,,0.447699,,,,,
6,3292567,,,0.330269,,,,,
7,4068249,,,0.218712,,,,,
8,4761522,,,0.125983,,,,,
9,5284435,,,0.0611404,,,,,
10,5601415,,,0.0250729,,,,,
11,5756926,,,0.00866522,,,,,
12,5819162,,,0.00266709,,,,,
13,5839735,,,0.000708972,,,,,
14,5846148,,,0.000180056,,,,,
15,5848066,,,2.25071e-05,,,,,
0,5848349,,,,0.0,,,,
1,5845888,,,,0.000405127,,,,
2,4961511,,,,0.169895,,,,
3,4312741,,,,0.274485,,,,
4,3658397,,,,0.382755,,,,
5,3101680,,,,0.466526,,,,
6,2676034,,,,0.523627,,,,
7,2301644,,,,0.572051,,,,
8,1976538,,,,0.609502,,,,
9,1699016,,,,0.638413,,,,
10,1550425,,,,0.651805,,,,
11,1513372,,,,0.654854,,,,
12,1479429,,,,0.656835,,,,
13,1470123,,,,0.657533,,,,
14,1467787,,,,0.657679,,,,
15,1466993,,,,0.657713,,,,
16,1466911,,,,0.657713,,,,
17,1466893,,,,0.657713,,,,
18,1466893,,,,0.657713,,,,
19,1466893,,,,0.657713,,,,
0,1514631,,,,,0.645896,,,
1,1515599,,,,,0.64557,,,
2,1516577,,,,,0.645176,,,
3,1517555,,,,,0.64458,,,
4,1518532,,,,,0.644163,,,
5,1519510,,,,,0.643286,,,
0,1466893,,,,,,0.657713,,
1,1485287,,,,,,0.653493,,
2,1499449,,,,,,0.64997,,
3,1500234,,,,,,0.64979,,
0,1514546,,,,,,,0.645896,
0,46786739,,,,,,,,0.0
