,Memory usage,Absolutely Restrained Surfing Trie,Relatively Restrained Surfing Trie,Absolutely Restrained Splashy Trie,Relatively Restrained Splashy Trie,Bloomed Surfing Trie,Splashy Trie,Surfing Trie,Trie
0,3852620,0.0,,,,,,,
1,3737717,0.373018,,,,,,,
2,3626985,0.373738,,,,,,,
3,3521272,0.374699,,,,,,,
4,3423461,0.37646,,,,,,,
5,3337978,0.379061,,,,,,,
6,3267560,0.381262,,,,,,,
7,3214745,0.383543,,,,,,,
8,3179121,0.386425,,,,,,,
9,3158288,0.388306,,,,,,,
10,3147493,0.389186,,,,,,,
11,3143059,0.390027,,,,,,,
12,3141535,0.390147,,,,,,,
13,3141079,0.390267,,,,,,,
14,3140933,0.390267,,,,,,,
15,3140878,0.390267,,,,,,,
0,3852620,,0.0,,,,,,
1,3852352,,0.000870461,,,,,,
2,3738127,,0.370827,,,,,,
3,3655546,,0.373028,,,,,,
4,3566176,,0.373738,,,,,,
5,3485894,,0.374258,,,,,,
6,3421709,,0.375259,,,,,,
7,3359376,,0.37674,,,,,,
8,3297737,,0.378621,,,,,,
9,3233433,,0.381022,,,,,,
10,3184523,,0.384664,,,,,,
11,3168472,,0.386305,,,,,,
12,3150861,,0.388466,,,,,,
13,3144464,,0.389867,,,,,,
14,3142228,,0.389987,,,,,,
15,3141106,,0.390227,,,,,,
16,3140933,,0.390267,,,,,,
17,3140878,,0.390267,,,,,,
18,3140869,,0.390267,,,,,,
19,3140869,,0.390267,,,,,,
0,1600884,,,0.779303,,,,,
1,1600884,,,0.779303,,,,,
2,1603456,,,0.770919,,,,,
3,1613507,,,0.75402,,,,,
4,1637267,,,0.727245,,,,,
5,1779034,,,0.642771,,,,,
6,1995340,,,0.536264,,,,,
7,2284709,,,0.41475,,,,,
8,2612823,,,0.294276,,,,,
9,3068169,,,0.174312,,,,,
10,3418757,,,0.0892873,,,,,
11,3648263,,,0.0385905,,,,,
12,3768037,,,0.0142375,,,,,
13,3825393,,,0.00438232,,,,,
14,3845907,,,0.000960509,,,,,
15,3850721,,,0.000280148,,,,,
0,3852620,,,,0.0,,,,
1,3850668,,,,0.00633336,,,,
2,3735902,,,,0.372658,,,,
3,3639960,,,,0.373248,,,,
4,3529765,,,,0.379911,,,,
5,3003484,,,,0.573874,,,,
6,2647814,,,,0.677369,,,,
7,2455714,,,,0.702512,,,,
8,2296309,,,,0.709776,,,,
9,1992099,,,,0.73519,,,,
10,1725307,,,,0.763955,,,,
11,1669763,,,,0.770138,,,,
12,1622049,,,,0.776381,,,,
13,1607136,,,,0.778653,,,,
14,1602865,,,,0.779223,,,,
15,1601085,,,,0.779303,,,,
16,1600921,,,,0.779303,,,,
17,1600884,,,,0.779303,,,,
18,1600884,,,,0.779303,,,,
19,1600884,,,,0.779303,,,,
0,3140954,,,,,0.390267,,,
1,3141937,,,,,0.385584,,,
2,3142928,,,,,0.379311,,,
3,3143919,,,,,0.371147,,,
4,3144911,,,,,0.361852,,,
5,3145903,,,,,0.353047,,,
0,1600884,,,,,,0.779303,,
1,2199782,,,,,,0.639329,,
2,2960265,,,,,,0.427537,,
3,3140777,,,,,,0.390327,,
0,3140869,,,,,,,0.390267,
0,30820909,,,,,,,,0.0
