,Memory usage,Absolutely Restrained Surfing Trie,Relatively Restrained Surfing Trie,Absolutely Restrained Splashy Trie,Relatively Restrained Splashy Trie,Bloomed Surfing Trie,Splashy Trie,Surfing Trie,Trie
0,5978909,0.0,,,,,,,
1,5149869,0.0,,,,,,,
2,4402741,3.00021e-05,,,,,,,
3,3732172,0.00028002,,,,,,,
4,3146402,0.000780055,,,,,,,
5,2652302,0.00208015,,,,,,,
6,2255903,0.00444031,,,,,,,
7,1954905,0.0111008,,,,,,,
8,1742521,0.0208815,,,,,,,
9,1604441,0.042143,,,,,,,
10,1522809,0.0706349,,,,,,,
11,1480807,0.104127,,,,,,,
12,1462155,0.129569,,,,,,,
13,1455613,0.14701,,,,,,,
14,1453651,0.152521,,,,,,,
15,1453231,0.155661,,,,,,,
0,5978909,,0.0,,,,,,
1,5977883,,0.0,,,,,,
2,5164038,,0.0,,,,,,
3,4691113,,0.0,,,,,,
4,4130625,,0.0,,,,,,
5,3654026,,0.0,,,,,,
6,3300825,,0.0,,,,,,
7,2942760,,3.00021e-05,,,,,,
8,2612571,,5.00035e-05,,,,,,
9,2277629,,0.000120008,,,,,,
10,1942304,,0.000520036,,,,,,
11,1814727,,0.000590041,,,,,,
12,1656025,,0.00199014,,,,,,
13,1564045,,0.00454032,,,,,,
14,1507178,,0.014651,,,,,,
15,1468287,,0.0405528,,,,,,
16,1455996,,0.0976368,,,,,,
17,1453277,,0.13749,,,,,,
18,1453140,,0.158641,,,,,,
19,1453140,,0.158641,,,,,,
0,1360498,,,0.159491,,,,,
1,1360498,,,0.159491,,,,,
2,1426035,,,0.159491,,,,,
3,1576122,,,0.159471,,,,,
4,1829892,,,0.159221,,,,,
5,2212861,,,0.158731,,,,,
6,2717807,,,0.157571,,,,,
7,3303256,,,0.155241,,,,,
8,3937804,,,0.14879,,,,,
9,4552177,,,0.1394,,,,,
10,5073822,,,0.118348,,,,,
11,5478128,,,0.0902063,,,,,
12,5739171,,,0.0560439,,,,,
13,5888845,,,0.0299021,,,,,
14,5950458,,,0.0118808,,,,,
15,5972516,,,0.00625044,,,,,
0,5978909,,,,0.0,,,,
1,5972878,,,,0.0,,,,
2,5142420,,,,0.0,,,,
3,4545241,,,,0.0,,,,
4,3954214,,,,0.0,,,,
5,3451587,,,,0.0,,,,
6,3067412,,,,3.00021e-05,,,,
7,2706591,,,,5.00035e-05,,,,
8,2367342,,,,0.000100007,,,,
9,2021566,,,,0.000450032,,,,
10,1728706,,,,0.00120008,,,,
11,1621410,,,,0.00197014,,,,
12,1484273,,,,0.00625044,,,,
13,1415921,,,,0.014671,,,,
14,1382279,,,,0.0406628,,,,
15,1363373,,,,0.104027,,,,
16,1360590,,,,0.1468,,,,
17,1360498,,,,0.159491,,,,
18,1360498,,,,0.159491,,,,
19,1360498,,,,0.159491,,,,
0,1453246,,,,,0.158641,,,
1,1460497,,,,,0.0463632,,,
2,1467757,,,,,0.0161411,,,
3,1475013,,,,,0.00775054,,,
4,1482274,,,,,0.0043003,,,
5,1489532,,,,,0.00277019,,,
0,1360498,,,,,,0.159491,,
1,1391686,,,,,,0.158981,,
2,1409772,,,,,,0.158901,,
3,1412290,,,,,,0.158721,,
0,1453140,,,,,,,0.158641,
0,47831223,,,,,,,,0.0
