,Memory usage,Absolutely Restrained Surfing Trie,Relatively Restrained Surfing Trie,Absolutely Restrained Splashy Trie,Relatively Restrained Splashy Trie,Bloomed Surfing Trie,Splashy Trie,Surfing Trie,Trie
0,5978909,0.0,,,,,,,
1,5149869,0.174591,,,,,,,
2,4402741,0.318294,,,,,,,
3,3732172,0.43357,,,,,,,
4,3146402,0.522192,,,,,,,
5,2652302,0.58627,,,,,,,
6,2255903,0.631811,,,,,,,
7,1954905,0.660516,,,,,,,
8,1742521,0.678908,,,,,,,
9,1604441,0.688967,,,,,,,
10,1522809,0.693731,,,,,,,
11,1480807,0.6956,,,,,,,
12,1462155,0.69642,,,,,,,
13,1455613,0.69671,,,,,,,
14,1453651,0.696746,,,,,,,
15,1453231,0.696746,,,,,,,
0,5978909,,0.0,,,,,,
1,5977883,,0.000120607,,,,,,
2,5164038,,0.169465,,,,,,
3,4691113,,0.256,,,,,,
4,4130625,,0.359722,,,,,,
5,3654026,,0.439769,,,,,,
6,3300825,,0.493403,,,,,,
7,2942760,,0.543853,,,,,,
8,2612571,,0.587283,,,,,,
9,2277629,,0.625371,,,,,,
10,1942304,,0.660202,,,,,,
11,1814727,,0.672275,,,,,,
12,1656025,,0.684939,,,,,,
13,1564045,,0.691319,,,,,,
14,1507178,,0.694286,,,,,,
15,1468287,,0.696215,,,,,,
16,1455996,,0.69671,,,,,,
17,1453277,,0.696758,,,,,,
18,1453140,,0.696758,,,,,,
19,1453140,,0.696758,,,,,,
0,1360498,,,0.722423,,,,,
1,1360498,,,0.722423,,,,,
2,1426035,,,0.704791,,,,,
3,1576122,,,0.668355,,,,,
4,1829892,,,0.613744,,,,,
5,2212861,,,0.536266,,,,,
6,2717807,,,0.445136,,,,,
7,3303256,,,0.348023,,,,,
8,3937804,,,0.252647,,,,,
9,4552177,,,0.167113,,,,,
10,5073822,,,0.100152,,,,,
11,5478128,,,0.0524761,,,,,
12,5739171,,,0.0239163,,,,,
13,5888845,,,0.00858721,,,,,
14,5950458,,,0.00249656,,,,,
15,5972516,,,0.00053067,,,,,
0,5978909,,,,0.0,,,,
1,5972878,,,,0.00108546,,,,
2,5142420,,,,0.175314,,,,
3,4545241,,,,0.285682,,,,
4,3954214,,,,0.393046,,,,
5,3451587,,,,0.476421,,,,
6,3067412,,,,0.535097,,,,
7,2706591,,,,0.585173,,,,
8,2367342,,,,0.628362,,,,
9,2021566,,,,0.666582,,,,
10,1728706,,,,0.6963,,,,
11,1621410,,,,0.705562,,,,
12,1484273,,,,0.715947,,,,
13,1415921,,,,0.719698,,,,
14,1382279,,,,0.721422,,,,
15,1363373,,,,0.722375,,,,
16,1360590,,,,0.722423,,,,
17,1360498,,,,0.722423,,,,
18,1360498,,,,0.722423,,,,
19,1360498,,,,0.722423,,,,
0,1453246,,,,,0.696758,,,
1,1460497,,,,,0.693502,,,
2,1467757,,,,,0.688412,,,
3,1475013,,,,,0.679789,,,
4,1482274,,,,,0.67002,,,
5,1489532,,,,,0.655945,,,
0,1360498,,,,,,0.722423,,
1,1391686,,,,,,0.714113,,
2,1409772,,,,,,0.709362,,
3,1412290,,,,,,0.708783,,
0,1453140,,,,,,,0.696758,
0,47831223,,,,,,,,0.0
