,Memory usage,Splash y=0.7,Splash y=0.8,Splash y=0.9,Splash y=1.0,SuRF Base,FST
0,870078,0.0,,,,,
1,743300,0.217397,,,,,
2,530367,0.486036,,,,,
3,388165,0.662328,,,,,
4,273613,0.784443,,,,,
5,219624,0.831391,,,,,
6,208775,0.837899,,,,,
7,206999,0.838913,,,,,
8,206503,0.839019,,,,,
9,206231,0.839019,,,,,
10,206231,0.839019,,,,,
0,870078,,0.0,,,,
1,743300,,0.217397,,,,
2,530729,,0.485342,,,,
3,388765,,0.660647,,,,
4,276913,,0.778788,,,,
5,225674,,0.821921,,,,
6,215370,,0.82787,,,,
7,213709,,0.828803,,,,
8,213219,,0.82891,,,,
9,212947,,0.82891,,,,
10,212947,,0.82891,,,,
0,870078,,,0.0,,,
1,743300,,,0.217397,,,
2,530729,,,0.485342,,,
3,390129,,,0.65798,,,
4,279996,,,0.77252,,,
5,230057,,,0.813465,,,
6,219900,,,0.819254,,,
7,218229,,,0.820187,,,
8,217739,,,0.820294,,,
9,217467,,,0.820294,,,
10,217467,,,0.820294,,,
0,870078,,,,0.0,,
1,743300,,,,0.217397,,
2,530729,,,,0.485342,,
3,390129,,,,0.65798,,
4,279996,,,,0.77252,,
5,230158,,,,0.813359,,
6,220076,,,,0.819014,,
7,218418,,,,0.819921,,
8,217928,,,,0.820027,,
9,217656,,,,0.820027,,
10,217656,,,,0.820027,,
0,220815,,,,,0.817867,
0,871254,,,,,,0.00704207
