,Memory usage,Splash y=0.7,Splash y=0.8,Splash y=0.9,Splash y=1.0,SuRF Base,FST
0,217875,0.0,,,,,
1,159131,0.301989,,,,,
2,147692,0.36268,,,,,
3,147183,0.365931,,,,,
4,147163,0.365931,,,,,
5,147158,0.365995,,,,,
6,147158,0.365995,,,,,
7,147158,0.365995,,,,,
8,147158,0.365995,,,,,
9,147158,0.365995,,,,,
10,147158,0.365995,,,,,
0,217875,,0.0,,,,
1,159131,,0.301989,,,,
2,148916,,0.355412,,,,
3,148441,,0.357771,,,,
4,148429,,0.357771,,,,
5,148429,,0.357771,,,,
6,148429,,0.357771,,,,
7,148429,,0.357771,,,,
8,148429,,0.357771,,,,
9,148429,,0.357771,,,,
10,148429,,0.357771,,,,
0,217875,,,0.0,,,
1,159131,,,0.301989,,,
2,149076,,,0.354584,,,
3,148761,,,0.355731,,,
4,148747,,,0.355731,,,
5,148747,,,0.355731,,,
6,148747,,,0.355731,,,
7,148747,,,0.355731,,,
8,148747,,,0.355731,,,
9,148747,,,0.355731,,,
10,148747,,,0.355731,,,
0,217875,,,,0.0,,
1,159131,,,,0.301989,,
2,149076,,,,0.354584,,
3,148761,,,,0.355731,,
4,148747,,,,0.355731,,
5,148747,,,,0.355731,,
6,148747,,,,0.355731,,
7,148747,,,,0.355731,,
8,148747,,,,0.355731,,
9,148747,,,,0.355731,,
10,148747,,,,0.355731,,
0,196547,,,,,0.538251,
0,246245,,,,,,0.297399
