,Memory usage,Splash y=0.7,Splash y=0.8,Splash y=0.9,Splash y=1.0,SuRF Base,FST
0,901590,0.0,,,,,
1,782117,0.944606,,,,,
2,608932,0.961339,,,,,
3,479974,0.969059,,,,,
4,362619,0.973042,,,,,
5,280801,0.974151,,,,,
6,204319,0.974254,,,,,
7,189061,0.974356,,,,,
8,185836,0.974356,,,,,
9,185811,0.974356,,,,,
10,185811,0.974356,,,,,
0,901590,,0.0,,,,
1,782117,,0.944606,,,,
2,610588,,0.957603,,,,
3,481997,,0.965938,,,,
4,367496,,0.96947,,,,
5,288111,,0.970558,,,,
6,212583,,0.970661,,,,
7,197944,,0.970743,,,,
8,194860,,0.970743,,,,
9,194836,,0.970743,,,,
10,194836,,0.970743,,,,
0,901590,,,0.0,,,
1,782117,,,0.944606,,,
2,610710,,,0.957295,,,
3,485167,,,0.960046,,,
4,372392,,,0.961298,,,
5,294354,,,0.961791,,,
6,219024,,,0.96214,,,
7,204520,,,0.962222,,,
8,201516,,,0.962222,,,
9,201476,,,0.962222,,,
10,201476,,,0.962222,,,
0,901590,,,,0.0,,
1,782117,,,,0.944606,,
2,610710,,,,0.957295,,
3,485167,,,,0.960046,,
4,372392,,,,0.961298,,
5,294535,,,,0.96173,,
6,219539,,,,0.961771,,
7,205080,,,,0.961791,,
8,202061,,,,0.961791,,
9,202033,,,,0.961791,,
10,202033,,,,0.961791,,
0,211693,,,,,0.952511,
0,905455,,,,,,0.0227077
