,Memory usage,Splash y=0.7,Splash y=0.8,Splash y=0.9,Splash y=1.0,SuRF Base,FST
0,901590,0.0,,,,,
1,782117,0.215966,,,,,
2,608932,0.482236,,,,,
3,479974,0.653929,,,,,
4,362619,0.785529,,,,,
5,280801,0.856004,,,,,
6,204319,0.87886,,,,,
7,189061,0.886137,,,,,
8,185836,0.88705,,,,,
9,185811,0.887078,,,,,
10,185811,0.887078,,,,,
0,901590,,0.0,,,,
1,782117,,0.215966,,,,
2,610588,,0.479054,,,,
3,481997,,0.650221,,,,
4,367496,,0.776812,,,,
5,288111,,0.844272,,,,
6,212583,,0.865993,,,,
7,197944,,0.872524,,,,
8,194860,,0.873271,,,,
9,194836,,0.873298,,,,
10,194836,,0.873298,,,,
0,901590,,,0.0,,,
1,782117,,,0.215966,,,
2,610710,,,0.478639,,,
3,485167,,,0.643664,,,
4,372392,,,0.766823,,,
5,294354,,,0.831931,,,
6,219024,,,0.853625,,,
7,204520,,,0.860044,,,
8,201516,,,0.860764,,,
9,201476,,,0.860791,,,
10,201476,,,0.860791,,,
0,901590,,,,0.0,,
1,782117,,,,0.215966,,
2,610710,,,,0.478639,,
3,485167,,,,0.643664,,
4,372392,,,,0.766823,,
5,294535,,,,0.831655,,
6,219539,,,,0.852573,,
7,205080,,,,0.85891,,
8,202061,,,,0.859629,,
9,202033,,,,0.859657,,
10,202033,,,,0.859657,,
0,211693,,,,,0.853071,
0,905455,,,,,,0.0123962
