,Memory usage,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,Bloomed FST height=7,Bloom Filter,SuRF Base,FST
0,869585,0.0,,,,,
1,742831,0.959365,,,,,
2,530175,0.962594,,,,,
3,388155,0.966646,,,,,
4,276907,0.971282,,,,,
5,225705,0.972886,,,,,
6,215239,0.973125,,,,,
7,213486,0.973136,,,,,
8,213121,0.973136,,,,,
9,212713,0.973136,,,,,
10,212713,0.973136,,,,,
0,212713,,0.973136,,,,
1,212713,,0.973136,,,,
2,220059,,0.917209,,,,
3,243379,,0.828033,,,,
4,291411,,0.706441,,,,
5,371361,,0.55265,,,,
6,474128,,0.39436,,,,
7,586557,,0.249987,,,,
8,706386,,0.140363,,,,
9,782955,,0.0664681,,,,
10,830379,,0.0262081,,,,
11,853795,,0.00899991,,,,
12,863731,,0.00273955,,,,
13,867282,,0.00063541,,,,
14,868708,,0.000177081,,,,
0,92482,,,0.926876,,,
1,112278,,,0.821346,,,
2,132077,,,0.71793,,,
3,151874,,,0.6274,,,
4,171671,,,0.551838,,,
5,191468,,,0.491901,,,
6,211264,,,0.443204,,,
7,231062,,,0.396235,,,
8,250858,,,0.361194,,,
9,270656,,,0.33233,,,
0,46956,,,,0.845397,,
1,93840,,,,0.609577,,
2,140722,,,,0.468297,,
3,187606,,,,0.367715,,
4,234488,,,,0.279518,,
5,281373,,,,0.217654,,
6,328254,,,,0.168936,,
7,375136,,,,0.129655,,
8,422023,,,,0.10277,,
9,468901,,,,0.0786867,,
0,220474,,,,,0.963709,
0,870836,,,,,,0.0
