,Memory usage,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,Bloomed FST height=7,Bloom Filter,SuRF Base,FST
0,1412317,0.0,,,,,
1,1281903,0.0,,,,,
2,1081108,6.00012e-05,,,,,
3,904227,0.000330007,,,,,
4,699931,0.00121002,,,,,
5,491905,0.00805016,,,,,
6,327599,0.0347007,,,,,
7,182339,0.154783,,,,,
8,164186,0.196504,,,,,
9,164186,0.196504,,,,,
10,164186,0.196504,,,,,
0,164186,,0.196504,,,,
1,164186,,0.196504,,,,
2,164267,,0.196454,,,,
3,164739,,0.196194,,,,
4,166698,,0.195554,,,,
5,173282,,0.194074,,,,
6,191639,,0.189434,,,,
7,258889,,0.180574,,,,
8,346440,,0.164353,,,,
9,496004,,0.139043,,,,
10,708636,,0.106252,,,,
11,955698,,0.0679714,,,,
12,1174418,,0.0356807,,,,
13,1321250,,0.0137803,,,,
14,1388598,,0.00360007,,,,
0,577425,,,1.00002e-05,,,
1,597578,,,1.00002e-05,,,
2,617732,,,1.00002e-05,,,
3,637884,,,1.00002e-05,,,
4,658038,,,1.00002e-05,,,
5,678191,,,0.0,,,
6,698346,,,0.0,,,
7,718499,,,0.0,,,
8,738652,,,0.0,,,
9,758806,,,0.0,,,
0,50240,,,,0.800316,,
1,100407,,,,0.348347,,
2,150569,,,,0.150543,,
3,200736,,,,0.0735615,,
4,250900,,,,0.0400108,,
5,301065,,,,0.0228805,,
6,351233,,,,0.0115502,,
7,401397,,,,0.00565011,,
8,451560,,,,0.00267005,,
9,501728,,,,0.00158003,,
0,164174,,,,,0.196484,
0,1412286,,,,,,0.0
