memoryUsage	FPR Prefix-BF	PF Prob BF	FPR Prefix-QF	FP Prob QF	SuRF Real
12502	0.998484	0.999999			
75002	0.665694	0.901559			
137502	0.450091	0.717627			
200002	0.336204	0.580781			
262502	0.264474	0.484373			
325002	0.221492	0.414326			
387502	0.117425	0.350908			
450002	0.0928033	0.28973			
512502	0.0729368	0.24269			
575002	0.0618998	0.205936			
637502	0.0329562	0.174476			
700002	0.025581	0.144989			
762502	0.0216613	0.121619			
825002	0.0166895	0.102906			
887502	0.00889146	0.0871054			
950002	0.00686973	0.072611			
1012502	0.00582793	0.0609489			
1075002	0.00501305	0.0514959			
1137502	0.00249621	0.0435553			
1200002	0.00197015	0.0363746			
1262502	0.00164007	0.030545			
1325002	0.00136157	0.0257846			
1387502	0.000794248	0.0217959			
1450002	0.000484801	0.0182246			
1512502	0.000443541	0.0153079			
1575002	0.000402282	0.0129145			
1637502	0.000185668	0.0109118			
1700002	0.000154724	0.00913174			
1762502	0.000185668	0.00767179			
1825002	0.000134094	0.00646953			
1887502	7.22044e-05	0.00546433			
1950002	2.06298e-05	0.00457585			
2012502	3.09447e-05	0.00384483			
2075002	4.12597e-05	0.00324126			
2137502	1.03149e-05	0.00273687			
2200002	0	0.00229301			
2262502	1.03149e-05	0.0019269			
2325002	1.03149e-05	0.001624			
2387502	0	0.00137097			
2450002	1.03149e-05	0.00114908			
1048576			0.145213	0.144575	
1310720			0.0760828	0.0751079	
1572864			0.0381961	0.0382869	
1835008			0.0192889	0.0193303	
2097152			0.00986106	0.0097123	
2359296			0.00507494	0.004868	
2621440			0.00249621	0.00243697	
2883584			0.0012481	0.00121923	
211729					0.35933
224233					0.35933
274389					0.348108
286885					0.348108
299389					0.257986
311885					0.214602
324389					0.189733
336885					0.17687
349389					0.169742
