memoryUsage	FPR Prefix-BF	PF Prob BF	FPR Prefix-QF	FP Prob QF	SuRF Real
12502	0.998222	0.999999			
75002	0.657675	0.896851			
137502	0.440965	0.71034			
200002	0.327514	0.573373			
262502	0.260881	0.477445			
325002	0.222054	0.407978			
387502	0.116675	0.34215			
450002	0.0894762	0.281982			
512502	0.0732198	0.235857			
575002	0.0597114	0.199903			
637502	0.0310883	0.167695			
700002	0.0250061	0.139124			
762502	0.0201867	0.116534			
825002	0.0160645	0.0984825			
887502	0.00794132	0.0825358			
950002	0.00673901	0.068694			
1012502	0.00562763	0.0575803			
1075002	0.00450614	0.0485885			
1137502	0.00229349	0.0406884			
1200002	0.00164686	0.0339286			
1262502	0.00154583	0.0284514			
1325002	0.00114169	0.0239866			
1387502	0.000565794	0.0200745			
1450002	0.000424345	0.0167602			
1512502	0.000383931	0.0140584			
1575002	0.000333414	0.0118451			
1637502	0.000151552	0.00990858			
1700002	0.000181862	0.00827998			
1762502	0.000121242	0.0069466			
1825002	9.09311e-05	0.00585037			
1887502	3.03104e-05	0.00489215			
1950002	4.04138e-05	0.00409074			
2012502	2.02069e-05	0.00343249			
2075002	1.01035e-05	0.00288986			
2137502	0	0.00241584			
2200002	0	0.00202111			
2262502	2.02069e-05	0.00169608			
2325002	0	0.00142759			
2387502	0	0.00119314			
2450002	0	0.000998594			
1048576			0.140984	0.141911	
1310720			0.0728257	0.0736689	
1572864			0.0372717	0.037539	
1835008			0.0184792	0.0189491	
2097152			0.0096387	0.00951984	
2359296			0.00451625	0.0047713	
2621440			0.00226317	0.0023885	
2883584			0.00105076	0.00119497	
220677					0.500687
233181					0.500687
245685					0.496565
258181					0.496565
270685					0.316006
283189					0.227681
295685					0.179458
308189					0.152865
320685					0.138862
