memoryUsage	FPR Prefix-BF	PF Prob BF	FPR Prefix-QF	FP Prob QF	SuRF Real
12502	0.998471	0.999999			
75002	0.664698	0.901559			
137502	0.452195	0.717627			
200002	0.335302	0.580781			
262502	0.267383	0.484373			
325002	0.221889	0.414326			
387502	0.118702	0.350908			
450002	0.0918165	0.28973			
512502	0.0749008	0.24269			
575002	0.0597595	0.205936			
637502	0.0320336	0.174476			
700002	0.0260915	0.144989			
762502	0.0203129	0.121619			
825002	0.0172543	0.102906			
887502	0.00919916	0.0871054			
950002	0.00707448	0.072611			
1012502	0.00587205	0.0609489			
1075002	0.0049498	0.0514959			
1137502	0.00262666	0.0435553			
1200002	0.00198459	0.0363746			
1262502	0.00165772	0.030545			
1325002	0.00130749	0.0257846			
1387502	0.000712118	0.0217959			
1450002	0.000723792	0.0182246			
1512502	0.00043194	0.0153079			
1575002	0.000396918	0.0129145			
1637502	0.000140089	0.0109118			
1700002	0.000198459	0.00913174			
1762502	0.000128415	0.00767179			
1825002	9.33925e-05	0.00646953			
1887502	5.83703e-05	0.00546433			
1950002	3.50222e-05	0.00457585			
2012502	0.000105067	0.00384483			
2075002	5.83703e-05	0.00324126			
2137502	1.16741e-05	0.00273687			
2200002	0	0.00229301			
2262502	0	0.0019269			
2325002	1.16741e-05	0.001624			
2387502	0	0.00137097			
2450002	1.16741e-05	0.00114908			
1048576			0.144443	0.144575	
1310720			0.0749008	0.0751079	
1572864			0.037322	0.0382869	
1835008			0.0186435	0.0193303	
2097152			0.00902405	0.0097123	
2359296			0.00444782	0.004868	
2621440			0.0021597	0.00243697	
2883584			0.00119075	0.00121923	
211729					0.737287
224233					0.737287
274389					0.711499
286885					0.711499
299389					0.656899
311885					0.631228
324389					0.617931
336885					0.610215
349389					0.60586
