memoryUsage	FPR Prefix-BF	PF Prob BF	FPR Prefix-QF	FP Prob QF	SuRF Real
12502	0.99997	0.999999			
75002	0.826523	0.894335			
137502	0.617315	0.706507			
200002	0.478719	0.5695			
262502	0.395386	0.473834			
325002	0.333563	0.404677			
387502	0.24487	0.337614			
450002	0.197348	0.277979			
512502	0.162046	0.232334			
575002	0.135425	0.196797			
637502	0.100334	0.164223			
700002	0.0798732	0.136128			
762502	0.0648926	0.11394			
825002	0.0550122	0.0962293			
887502	0.0396516	0.0802228			
950002	0.0326313	0.0667146			
1012502	0.0279511	0.0558805			
1075002	0.0228309	0.0471234			
1137502	0.0169707	0.0392532			
1200002	0.0136305	0.0327061			
1262502	0.0111404	0.0274064			
1325002	0.00914037	0.0230903			
1387502	0.00676027	0.0192221			
1450002	0.00571023	0.0160362			
1512502	0.00470019	0.0134415			
1575002	0.00422017	0.0113177			
1637502	0.0026201	0.00941727			
1700002	0.00217009	0.00786343			
1762502	0.00198008	0.00659241			
1825002	0.00139006	0.00554323			
1887502	0.00107004	0.00461499			
1950002	0.000960038	0.00385608			
2012502	0.000680027	0.00323327			
2075002	0.000570023	0.00271447			
2137502	0.000430017	0.00226202			
2200002	0.000410016	0.00189102			
2262502	0.00025001	0.00158578			
2325002	0.000230009	0.00132967			
2387502	0.000210008	0.00110887			
2450002	0.000110004	0.000927374			
1048576			0.223669	0.222572	
1310720			0.119115	0.118281	
1572864			0.0612725	0.0610011	
1835008			0.0308512	0.0309805	
2097152			0.0158006	0.0156121	
2359296			0.00796032	0.00783676	
2621440			0.00398016	0.00392609	
2883584			0.00200008	0.00196497	
164261					0.194828
176765					0.194828
189261					0.194768
201765					0.194768
214261					0.100414
250750					0.0538422
263246					0.0281211
275750					0.0144706
288246					0.00775031
