,Memory usage,FPR Prefix-BF,FPR Prefix-BF+Doubting,FPR Prefix-QF,FPR Prefix-QF+Doubting
0,625002,0.104894,0.000160006,,
1,750002,0.0652026,1.00004e-05,,
2,875002,0.0410616,1.00004e-05,,
3,1000002,0.025541,1.00004e-05,,
4,1125002,0.0161606,0.0,,
5,1250002,0.0106304,0.0,,
6,1375002,0.00645026,0.0,,
7,1500002,0.00433017,0.0,,
8,1625002,0.0026001,0.0,,
9,1750002,0.00187007,0.0,,
10,1875002,0.00120005,0.0,,
11,2000002,0.000620025,0.0,,
12,2125002,0.000470019,0.0,,
13,2250002,0.000300012,0.0,,
14,2375002,0.000140006,0.0,,
15,2500002,0.000140006,0.0,,
16,2625002,6.00024e-05,0.0,,
17,2750002,3.00012e-05,0.0,,
18,2875002,3.00012e-05,0.0,,
19,3000002,2.00008e-05,0.0,,
20,3125002,1.00004e-05,0.0,,
21,1310720,,,0.119115,0.000200008
22,1572864,,,0.0612725,2.00008e-05
23,1835008,,,0.0308512,1.00004e-05
24,2097152,,,0.0158006,1.00004e-05
25,2359296,,,0.00796032,0.0
26,2621440,,,0.00398016,0.0
27,2883584,,,0.00200008,0.0
28,3145728,,,0.00106004,0.0
29,3407872,,,0.000620025,0.0
30,3670016,,,0.000310012,0.0
31,3932160,,,0.000190008,0.0
