,Memory usage,Prefix-BF Query time,Prefix-BF+Doubting Query time,Prefix-QF Query time,Prefix-QF+Doubting Query time
0,625002,3.33506e-07,7.12391e-07,,
1,750002,3.70501e-07,4.69318e-07,,
2,875002,3.46136e-07,6.00913e-07,,
3,1000002,3.4843e-07,5.61718e-07,,
4,1125002,3.86053e-07,6.11746e-07,,
5,1250002,5.55526e-07,6.21562e-07,,
6,1375002,5.81172e-07,8.79187e-07,,
7,1500002,6.26802e-07,8.19055e-07,,
8,1625002,4.70253e-07,7.3665e-07,,
9,1750002,5.98131e-07,7.2479e-07,,
10,1875002,6.55345e-07,1.30228e-06,,
11,2000002,5.98734e-07,8.97047e-07,,
12,2125002,6.83536e-07,8.31665e-07,,
13,2250002,7.01282e-07,9.04909e-07,,
14,2375002,5.91251e-07,9.51859e-07,,
15,2500002,6.84317e-07,9.89521e-07,,
16,2625002,7.88421e-07,1.01289e-06,,
17,2750002,6.52324e-07,1.06683e-06,,
18,2875002,8.34349e-07,1.16829e-06,,
19,3000002,6.86778e-07,1.13048e-06,,
20,3125002,6.3247e-07,1.29151e-06,,
21,1310720,,,1.70896e-07,2.27951e-07
22,1572864,,,1.81441e-07,2.22957e-07
23,1835008,,,1.86828e-07,2.25316e-07
24,2097152,,,1.87825e-07,2.22499e-07
25,2359296,,,1.93508e-07,2.3371e-07
26,2621440,,,2.01713e-07,2.37193e-07
27,2883584,,,1.99517e-07,2.41639e-07
28,3145728,,,2.04257e-07,2.44768e-07
29,3407872,,,2.08347e-07,2.4858e-07
30,3670016,,,2.09344e-07,2.53077e-07
31,3932160,,,2.07847e-07,2.59621e-07
