,Memory usage,Prefix-BF Creation time,Prefix-BF+Doubting Creation time,Prefix-QF Creation time,Prefix-QF+Doubting Creation time
0,625002,0.927063,0.872974,,
1,750002,1.03927,0.939212,,
2,875002,1.07964,0.975215,,
3,1000002,1.10671,1.09999,,
4,1125002,1.25295,1.13723,,
5,1250002,1.20593,1.18578,,
6,1375002,1.49491,1.25208,,
7,1500002,1.463,1.29819,,
8,1625002,1.46299,1.34373,,
9,1750002,1.48277,1.40832,,
10,1875002,1.50392,1.4612,,
11,2000002,1.53785,1.51243,,
12,2125002,1.65154,1.57598,,
13,2250002,1.84895,1.6344,,
14,2375002,1.8876,1.68177,,
15,2500002,1.90544,1.73384,,
16,2625002,1.91,1.79324,,
17,2750002,1.95407,1.83126,,
18,2875002,2.1924,1.94827,,
19,3000002,2.21234,2.27389,,
20,3125002,2.23309,2.0935,,
21,1310720,,,0.645217,0.639885
22,1572864,,,0.623027,0.620172
23,1835008,,,0.618135,0.621919
24,2097152,,,0.622774,0.609723
25,2359296,,,0.616374,0.613631
26,2621440,,,0.611746,0.607785
27,2883584,,,0.612853,0.624047
28,3145728,,,0.614729,0.615167
29,3407872,,,0.617876,0.616793
30,3670016,,,0.607234,0.610158
31,3932160,,,0.615371,0.603106
