,Memory usage,Prefix-BF Query time,Prefix-BF+Doubting Query time,Prefix-QF Query time,Prefix-QF+Doubting Query time
0,625002,2.37144e-07,2.37995e-07,,
1,750002,2.42964e-07,2.47128e-07,,
2,875002,2.45888e-07,3.33282e-07,,
3,1000002,2.52362e-07,2.7088e-07,,
4,1125002,2.47258e-07,2.45894e-07,,
5,1250002,2.56266e-07,2.69666e-07,,
6,1375002,2.3041e-07,2.44536e-07,,
7,1500002,2.60802e-07,2.41667e-07,,
8,1625002,3.28678e-07,3.50356e-07,,
9,1750002,2.32516e-07,2.84824e-07,,
10,1875002,2.69075e-07,2.6868e-07,,
11,2000002,2.64386e-07,2.86362e-07,,
12,2125002,2.66453e-07,2.55576e-07,,
13,2250002,2.91934e-07,2.4845e-07,,
14,2375002,2.72977e-07,2.53691e-07,,
15,2500002,3.06416e-07,3.74243e-07,,
16,2625002,2.8043e-07,2.63859e-07,,
17,2750002,2.65726e-07,2.56755e-07,,
18,2875002,2.98912e-07,3.47764e-07,,
19,3000002,3.90448e-07,2.85558e-07,,
20,3125002,2.86466e-07,4.05797e-07,,
21,1310720,,,1.78583e-07,1.91641e-07
22,1572864,,,1.83764e-07,1.75317e-07
23,1835008,,,1.97223e-07,1.96927e-07
24,2097152,,,1.57162e-07,1.52481e-07
25,2359296,,,1.54258e-07,1.85126e-07
26,2621440,,,1.66436e-07,1.77083e-07
27,2883584,,,1.98122e-07,1.8068e-07
28,3145728,,,1.72652e-07,1.65669e-07
29,3407872,,,1.93555e-07,1.77605e-07
30,3670016,,,1.84988e-07,1.80924e-07
31,3932160,,,1.83765e-07,2.29568e-07
