,Memory usage,FPR Prefix-BF,FPR Prefix-BF+Doubting,FPR Prefix-QF,FPR Prefix-QF+Doubting
0,625002,0.103934,0.00161084,,
1,750002,0.0658442,0.000770401,,
2,875002,0.0408512,0.000310161,,
3,1000002,0.0271141,0.000220114,,
4,1125002,0.0167687,8.00416e-05,,
5,1250002,0.0102053,5.0026e-05,,
6,1375002,0.00724377,8.00416e-05,,
7,1500002,0.00450234,1.00052e-05,,
8,1625002,0.00286149,0.0,,
9,1750002,0.00176092,1.00052e-05,,
10,1875002,0.00120062,3.00156e-05,,
11,2000002,0.000770401,0.0,,
12,2125002,0.000600312,0.0,,
13,2250002,0.000290151,0.0,,
14,2375002,0.000190099,0.0,,
15,2500002,0.000110057,0.0,,
16,2625002,2.00104e-05,0.0,,
17,2750002,6.00312e-05,0.0,,
18,2875002,1.00052e-05,0.0,,
19,3000002,7.00364e-05,0.0,,
20,3125002,2.00104e-05,0.0,,
21,1310720,,,0.118972,0.00184096
22,1572864,,,0.0605815,0.000590307
23,1835008,,,0.0309561,0.000190099
24,2097152,,,0.015388,0.000100052
25,2359296,,,0.00744387,6.00312e-05
26,2621440,,,0.00367191,2.00104e-05
27,2883584,,,0.001931,2.00104e-05
28,3145728,,,0.000970505,2.00104e-05
29,3407872,,,0.000530276,1.00052e-05
30,3670016,,,0.00027014,1.00052e-05
31,3932160,,,0.000130068,0.0
