,Memory usage,Prefix-BF Query time,Prefix-BF+Doubting Query time,Prefix-QF Query time,Prefix-QF+Doubting Query time
0,625002,2.83378e-07,3.37418e-07,,
1,750002,2.97879e-07,3.45818e-07,,
2,875002,2.8477e-07,3.38358e-07,,
3,1000002,2.86544e-07,3.71595e-07,,
4,1125002,3.08599e-07,3.94325e-07,,
5,1250002,3.14324e-07,3.99237e-07,,
6,1375002,3.2525e-07,4.16564e-07,,
7,1500002,3.19058e-07,4.23448e-07,,
8,1625002,3.25615e-07,4.31747e-07,,
9,1750002,3.3647e-07,4.48486e-07,,
10,1875002,3.29156e-07,4.59941e-07,,
11,2000002,3.78064e-07,4.8541e-07,,
12,2125002,3.34808e-07,4.91215e-07,,
13,2250002,4.50187e-07,5.98755e-07,,
14,2375002,3.39419e-07,5.18701e-07,,
15,2500002,3.91488e-07,5.0729e-07,,
16,2625002,3.6666e-07,7.03392e-07,,
17,2750002,3.565e-07,5.62902e-07,,
18,2875002,4.63677e-07,5.90889e-07,,
19,3000002,5.64933e-07,5.89961e-07,,
20,3125002,3.97124e-07,6.09749e-07,,
21,1310720,,,1.31492e-07,1.52262e-07
22,1572864,,,1.36935e-07,1.50283e-07
23,1835008,,,1.46256e-07,1.54794e-07
24,2097152,,,2.12882e-07,2.18796e-07
25,2359296,,,1.61714e-07,2.30471e-07
26,2621440,,,1.34015e-07,1.95753e-07
27,2883584,,,1.96911e-07,2.05167e-07
28,3145728,,,1.96893e-07,1.84429e-07
29,3407872,,,1.75508e-07,1.80619e-07
30,3670016,,,1.76771e-07,2.0953e-07
31,3932160,,,1.83506e-07,1.86421e-07
