,Memory usage,Prefix-BF Creation time,Prefix-BF+Doubting Creation time,Prefix-QF Creation time,Prefix-QF+Doubting Creation time
0,625002,0.877471,0.93146,,
1,750002,0.932816,0.94609,,
2,875002,1.03798,1.01241,,
3,1000002,1.05333,1.12152,,
4,1125002,1.09813,1.2224,,
5,1250002,1.16359,1.23032,,
6,1375002,1.37733,1.25371,,
7,1500002,1.44685,1.41504,,
8,1625002,1.40031,1.33709,,
9,1750002,1.47933,1.56785,,
10,1875002,1.53787,1.55129,,
11,2000002,1.70179,1.59801,,
12,2125002,1.61749,1.61807,,
13,2250002,1.74482,1.584,,
14,2375002,1.78478,1.72679,,
15,2500002,1.8471,1.76451,,
16,2625002,2.19075,1.81481,,
17,2750002,2.13412,1.86594,,
18,2875002,2.15198,1.92651,,
19,3000002,2.20754,1.97888,,
20,3125002,2.13877,2.02733,,
21,1310720,,,0.622856,0.621793
22,1572864,,,0.605857,0.607495
23,1835008,,,0.606121,0.60325
24,2097152,,,0.599059,0.600807
25,2359296,,,0.602752,0.599599
26,2621440,,,0.604117,0.60885
27,2883584,,,0.601009,0.599611
28,3145728,,,0.600956,0.600737
29,3407872,,,0.595939,0.591956
30,3670016,,,0.594003,0.601896
31,3932160,,,0.591434,0.618995
