,Memory usage,Prefix-BF Creation time,Prefix-BF+Doubting Creation time,Prefix-QF Creation time,Prefix-QF+Doubting Creation time
0,625002,0.930551,0.81253,,
1,750002,0.941459,0.897265,,
2,875002,1.03513,0.981314,,
3,1000002,1.03554,1.0794,,
4,1125002,1.088,1.12457,,
5,1250002,1.14563,1.13392,,
6,1375002,1.19847,1.18699,,
7,1500002,1.25515,1.2317,,
8,1625002,1.32657,1.28296,,
9,1750002,1.37587,1.33376,,
10,1875002,1.39948,1.48234,,
11,2000002,1.47715,1.54294,,
12,2125002,1.52633,1.54985,,
13,2250002,1.58563,1.64803,,
14,2375002,1.69896,1.67825,,
15,2500002,1.74683,1.77868,,
16,2625002,1.87201,1.81889,,
17,2750002,1.87688,1.83028,,
18,2875002,1.9289,1.90128,,
19,3000002,1.97923,1.95692,,
20,3125002,2.02223,2.02387,,
21,1310720,,,0.618125,0.626689
22,1572864,,,0.660178,0.648848
23,1835008,,,0.604453,0.68012
24,2097152,,,0.606927,0.642567
25,2359296,,,0.603641,0.60924
26,2621440,,,0.607427,0.606754
27,2883584,,,0.63448,0.608029
28,3145728,,,0.663979,0.618889
29,3407872,,,0.638971,0.627329
30,3670016,,,0.637507,0.641259
31,3932160,,,0.628586,0.615213
