,Memory usage,Prefix-BF Query time,Prefix-BF+Doubting Query time,Prefix-QF Query time,Prefix-QF+Doubting Query time
0,625002,2.27373e-07,2.30275e-07,,
1,750002,2.3105e-07,2.27801e-07,,
2,875002,2.40364e-07,2.30764e-07,,
3,1000002,2.35539e-07,2.32065e-07,,
4,1125002,2.5821e-07,2.46312e-07,,
5,1250002,2.69477e-07,2.48069e-07,,
6,1375002,2.49591e-07,2.49917e-07,,
7,1500002,2.51072e-07,2.47003e-07,,
8,1625002,3.71029e-07,2.48352e-07,,
9,1750002,2.72031e-07,2.55933e-07,,
10,1875002,3.07727e-07,2.50372e-07,,
11,2000002,2.88144e-07,3.26684e-07,,
12,2125002,2.47791e-07,2.58126e-07,,
13,2250002,2.8371e-07,2.58441e-07,,
14,2375002,2.47759e-07,2.57037e-07,,
15,2500002,2.58331e-07,2.50824e-07,,
16,2625002,2.60124e-07,2.50635e-07,,
17,2750002,2.58953e-07,2.64436e-07,,
18,2875002,2.63488e-07,2.61835e-07,,
19,3000002,2.53169e-07,2.72443e-07,,
20,3125002,2.68756e-07,2.65632e-07,,
21,1310720,,,1.20564e-07,1.22997e-07
22,1572864,,,1.22194e-07,1.21984e-07
23,1835008,,,1.23124e-07,1.22398e-07
24,2097152,,,1.60236e-07,1.24285e-07
25,2359296,,,1.758e-07,1.31407e-07
26,2621440,,,1.43716e-07,1.29393e-07
27,2883584,,,1.32617e-07,1.39851e-07
28,3145728,,,1.49448e-07,1.71272e-07
29,3407872,,,1.51591e-07,1.65367e-07
30,3670016,,,1.44362e-07,1.63209e-07
31,3932160,,,1.48556e-07,1.63298e-07
