,Memory usage,Prefix-BF Creation time,Prefix-BF+Doubting Creation time,Prefix-QF Creation time,Prefix-QF+Doubting Creation time
0,625002,0.874753,0.840058,,
1,750002,0.996676,0.889095,,
2,875002,1.04056,0.9453,,
3,1000002,1.02903,0.992205,,
4,1125002,1.12402,1.10241,,
5,1250002,1.2259,1.16945,,
6,1375002,1.2862,1.22757,,
7,1500002,1.34212,1.27048,,
8,1625002,1.62291,1.3234,,
9,1750002,1.68217,1.39616,,
10,1875002,1.85717,1.46459,,
11,2000002,1.70507,1.51852,,
12,2125002,1.60086,1.62926,,
13,2250002,1.61723,1.62739,,
14,2375002,1.67902,1.66872,,
15,2500002,1.72653,1.91889,,
16,2625002,1.81134,1.79835,,
17,2750002,1.85989,1.81124,,
18,2875002,1.89824,1.87851,,
19,3000002,1.95364,1.93689,,
20,3125002,2.01032,1.99431,,
21,1310720,,,0.638012,0.630001
22,1572864,,,0.618289,0.628037
23,1835008,,,0.619709,0.619372
24,2097152,,,0.618919,0.618241
25,2359296,,,0.696539,0.619822
26,2621440,,,0.695638,0.613846
27,2883584,,,0.643903,0.613818
28,3145728,,,0.640524,0.615156
29,3407872,,,0.623797,0.669403
30,3670016,,,0.6155,0.65957
31,3932160,,,0.605884,0.635168
