,Memory usage,Prefix-BF Query time,Prefix-BF+Doubting Query time,Prefix-QF Query time,Prefix-QF+Doubting Query time
0,625002,4.13812e-07,5.14289e-07,,
1,750002,4.60963e-07,5.88548e-07,,
2,875002,3.73832e-07,6.32535e-07,,
3,1000002,5.79027e-07,6.71187e-07,,
4,1125002,4.36325e-07,8.10458e-07,,
5,1250002,5.30449e-07,7.98152e-07,,
6,1375002,6.17188e-07,8.57128e-07,,
7,1500002,5.5132e-07,9.21634e-07,,
8,1625002,7.11218e-07,9.58882e-07,,
9,1750002,6.73118e-07,1.00682e-06,,
10,1875002,5.5156e-07,1.07445e-06,,
11,2000002,5.99694e-07,1.11451e-06,,
12,2125002,7.20371e-07,1.17469e-06,,
13,2250002,7.99212e-07,1.26694e-06,,
14,2375002,7.55932e-07,1.26787e-06,,
15,2500002,6.74077e-07,1.34362e-06,,
16,2625002,7.93469e-07,1.39388e-06,,
17,2750002,7.40437e-07,1.42104e-06,,
18,2875002,9.36276e-07,1.55537e-06,,
19,3000002,9.40486e-07,2.28646e-06,,
20,3125002,8.69177e-07,1.70425e-06,,
21,1310720,,,1.78935e-07,2.5262e-07
22,1572864,,,1.90253e-07,2.57934e-07
23,1835008,,,1.90192e-07,2.57929e-07
24,2097152,,,1.95701e-07,2.55435e-07
25,2359296,,,2.08225e-07,2.63337e-07
26,2621440,,,2.04887e-07,2.68665e-07
27,2883584,,,2.01516e-07,2.54221e-07
28,3145728,,,2.10421e-07,2.64927e-07
29,3407872,,,2.20909e-07,2.77526e-07
30,3670016,,,2.16653e-07,2.8109e-07
31,3932160,,,2.16807e-07,2.80171e-07
