,Memory usage,Prefix-BF Query time,Prefix-BF+Doubting Query time,Prefix-QF Query time,Prefix-QF+Doubting Query time
0,625002,3.27122e-07,3.78464e-07,,
1,750002,3.71996e-07,3.95066e-07,,
2,875002,3.78128e-07,4.43371e-07,,
3,1000002,3.69763e-07,4.5769e-07,,
4,1125002,3.63836e-07,4.65652e-07,,
5,1250002,3.8091e-07,5.0739e-07,,
6,1375002,3.48315e-07,4.57009e-07,,
7,1500002,3.62469e-07,5.25705e-07,,
8,1625002,3.92944e-07,5.20219e-07,,
9,1750002,3.8525e-07,5.25532e-07,,
10,1875002,4.15414e-07,6.08038e-07,,
11,2000002,4.51975e-07,7.74633e-07,,
12,2125002,4.49584e-07,7.32457e-07,,
13,2250002,4.47317e-07,8.04308e-07,,
14,2375002,4.51436e-07,7.18134e-07,,
15,2500002,5.25594e-07,7.40224e-07,,
16,2625002,5.46588e-07,6.75087e-07,,
17,2750002,4.78941e-07,6.63072e-07,,
18,2875002,4.8999e-07,7.03657e-07,,
19,3000002,6.91275e-07,9.78182e-07,,
20,3125002,5.47626e-07,9.79587e-07,,
21,1310720,,,2.15205e-07,3.27053e-07
22,1572864,,,1.9823e-07,2.86751e-07
23,1835008,,,1.98344e-07,2.69009e-07
24,2097152,,,2.07509e-07,2.58481e-07
25,2359296,,,2.12298e-07,2.42526e-07
26,2621440,,,2.10522e-07,2.49832e-07
27,2883584,,,2.19888e-07,2.52633e-07
28,3145728,,,2.18051e-07,2.48356e-07
29,3407872,,,2.32103e-07,2.55927e-07
30,3670016,,,2.28937e-07,2.62691e-07
31,3932160,,,2.29929e-07,2.70005e-07
