,Memory usage,Prefix-BF Query time,Prefix-BF+Doubting Query time,Prefix-QF Query time,Prefix-QF+Doubting Query time
0,625002,3.25751e-07,2.7542e-07,,
1,750002,2.78538e-07,2.81411e-07,,
2,875002,2.84443e-07,3.34032e-07,,
3,1000002,2.87185e-07,3.39195e-07,,
4,1125002,2.8827e-07,3.13863e-07,,
5,1250002,3.10533e-07,3.15362e-07,,
6,1375002,2.90392e-07,3.15976e-07,,
7,1500002,2.90374e-07,3.17185e-07,,
8,1625002,3.04841e-07,3.20868e-07,,
9,1750002,2.89182e-07,3.23988e-07,,
10,1875002,2.93834e-07,4.33271e-07,,
11,2000002,2.95552e-07,4.0616e-07,,
12,2125002,2.81348e-07,3.9791e-07,,
13,2250002,2.86706e-07,3.69828e-07,,
14,2375002,3.16083e-07,3.63721e-07,,
15,2500002,3.20382e-07,5.37354e-07,,
16,2625002,3.34367e-07,3.85559e-07,,
17,2750002,3.34046e-07,3.7689e-07,,
18,2875002,3.36919e-07,3.86227e-07,,
19,3000002,3.20569e-07,3.83943e-07,,
20,3125002,3.50098e-07,3.94284e-07,,
21,1310720,,,1.54513e-07,1.39318e-07
22,1572864,,,1.69981e-07,1.85692e-07
23,1835008,,,1.50216e-07,2.08274e-07
24,2097152,,,1.72457e-07,1.79636e-07
25,2359296,,,1.5176e-07,1.63154e-07
26,2621440,,,1.64368e-07,1.82366e-07
27,2883584,,,1.64274e-07,1.60696e-07
28,3145728,,,1.85555e-07,1.77855e-07
29,3407872,,,1.89833e-07,1.92283e-07
30,3670016,,,2.0749e-07,1.91623e-07
31,3932160,,,1.95347e-07,2.06099e-07
