,Memory usage,Prefix-BF Creation time,Prefix-BF+Doubting Creation time,Prefix-QF Creation time,Prefix-QF+Doubting Creation time
0,625002,1.14621,1.10941,,
1,750002,1.20783,1.19302,,
2,875002,1.29904,1.2629,,
3,1000002,1.28922,1.27576,,
4,1125002,1.37907,1.37101,,
5,1250002,1.48802,1.45665,,
6,1375002,1.48331,1.47772,,
7,1500002,1.65789,1.62384,,
8,1625002,1.71441,1.63035,,
9,1750002,1.73557,1.63673,,
10,1875002,1.86095,1.75117,,
11,2000002,1.86369,1.82264,,
12,2125002,1.8267,1.79946,,
13,2250002,1.91257,1.88575,,
14,2375002,1.91113,1.88029,,
15,2500002,2.00523,1.96689,,
16,2625002,2.09034,2.05055,,
17,2750002,2.10787,2.05308,,
18,2875002,2.16353,2.14678,,
19,3000002,2.26173,2.26333,,
20,3125002,2.30963,2.29606,,
21,1310720,,,0.978964,1.06144
22,1572864,,,0.972039,0.955649
23,1835008,,,0.971384,0.958439
24,2097152,,,0.975964,0.950454
25,2359296,,,0.972769,0.963524
26,2621440,,,0.989066,0.995104
27,2883584,,,0.990454,1.00299
28,3145728,,,0.955689,0.971261
29,3407872,,,0.961898,0.993563
30,3670016,,,0.965961,1.0688
31,3932160,,,0.963728,1.00573
