,Memory usage,Prefix-BF Creation time,Prefix-BF+Doubting Creation time,Prefix-QF Creation time,Prefix-QF+Doubting Creation time
0,625002,0.853229,0.837633,,
1,750002,0.991094,0.873508,,
2,875002,0.992271,0.930273,,
3,1000002,0.992569,0.997362,,
4,1125002,1.10902,1.1461,,
5,1250002,1.16417,1.19088,,
6,1375002,1.21345,1.2067,,
7,1500002,1.27186,1.26721,,
8,1625002,1.33513,1.30814,,
9,1750002,1.41278,1.36942,,
10,1875002,1.4536,1.43782,,
11,2000002,1.48415,1.49665,,
12,2125002,1.601,1.55039,,
13,2250002,1.61206,1.62906,,
14,2375002,1.9367,1.70078,,
15,2500002,1.72106,1.89517,,
16,2625002,1.84007,1.99727,,
17,2750002,1.88028,1.88379,,
18,2875002,2.1357,1.89226,,
19,3000002,2.22827,1.98757,,
20,3125002,2.08729,2.22136,,
21,1310720,,,0.631203,0.635354
22,1572864,,,0.622014,0.649539
23,1835008,,,0.618452,0.620488
24,2097152,,,0.632025,0.6738
25,2359296,,,0.706817,0.674718
26,2621440,,,0.627452,0.745833
27,2883584,,,0.729319,0.650978
28,3145728,,,0.662724,0.651112
29,3407872,,,0.668946,0.611399
30,3670016,,,0.604778,0.650063
31,3932160,,,0.61042,0.639895
