,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,FST
0,12534,0.856586,,,,
1,75034,0.0987649,,,,
2,137534,0.0530186,,,,
3,200034,0.0370927,,,,
4,262534,0.0271593,,,,
5,325034,0.0195417,,,,
6,387534,0.0152149,,,,
7,450034,0.0128585,,,,
0,453284,,0.00601284,,,
1,453115,,0.00601284,,,
2,389307,,0.02202,,,
3,342348,,0.0280328,,,
4,293421,,0.0583611,,,
5,250660,,0.0986024,,,
6,217288,,0.138539,,,
7,187285,,0.196027,,,
8,159251,,0.267713,,,
9,133353,,0.362639,,,
10,118221,,0.444991,,,
11,114183,,0.470342,,,
12,110096,,0.501239,,,
13,108985,,0.509974,,,
14,108602,,0.513305,,,
15,108423,,0.514382,,,
16,108272,,0.514646,,,
17,108072,,0.514666,,,
18,108000,,0.514687,,,
19,108000,,0.514687,,,
0,112834,,,0.500406,,
0,683357,,,,0.0326237,
1,621243,,,,0.0327253,
2,569482,,,,0.0329894,
3,525683,,,,0.0332128,
4,488142,,,,0.0331519,
5,455606,,,,0.0332941,
6,427138,,,,0.0335988,
7,402018,,,,0.0338832,
8,379690,,,,0.0340457,
9,359712,,,,0.0342285,
0,453686,,,,,0.0125132
