,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,FST
0,12534,0.998971,,,,
1,75034,0.998971,,,,
2,137534,0.998971,,,,
3,200034,0.998971,,,,
4,262534,0.998971,,,,
5,325034,0.998971,,,,
6,387534,0.998971,,,,
7,450034,0.998971,,,,
0,454531,,0.0,,,
1,454359,,0.000171546,,,
2,390450,,0.212431,,,
3,343378,,0.344465,,,
4,293946,,0.484904,,,
5,251209,,0.598296,,,
6,217964,,0.673719,,,
7,187577,,0.738907,,,
8,159639,,0.790428,,,
9,133684,,0.834344,,,
10,118392,,0.857102,,,
11,114180,,0.862306,,,
12,110222,,0.866709,,,
13,109101,,0.867967,,,
14,108693,,0.868367,,,
15,108486,,0.868538,,,
16,108340,,0.868538,,,
17,108140,,0.868538,,,
18,108140,,0.868538,,,
19,108140,,0.868538,,,
0,112826,,,0.85653,,
0,685440,,,,0.434069,
1,623136,,,,0.462603,
2,571217,,,,0.487935,
3,527286,,,,0.510522,
4,489630,,,,0.527047,
5,456995,,,,0.549977,
6,428439,,,,0.566331,
7,403243,,,,0.579197,
8,380847,,,,0.595666,
9,360808,,,,0.613392,
0,454955,,,,,0.00560384
