,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,FST
0,12534,0.870935,,,,
1,75034,0.131639,,,,
2,137534,0.0793022,,,,
3,200034,0.0621425,,,,
4,262534,0.0497222,,,,
0,455130,,0.0059446,,,
1,454998,,0.0059446,,,
2,391145,,0.0197745,,,
3,344088,,0.0253514,,,
4,294806,,0.0532971,,,
5,252005,,0.0922741,,,
6,218673,,0.132987,,,
7,188207,,0.194109,,,
8,159976,,0.262931,,,
9,134055,,0.357084,,,
10,118678,,0.438,,,
11,114445,,0.465293,,,
12,110386,,0.494096,,,
13,109223,,0.503779,,,
14,108911,,0.506598,,,
15,108658,,0.507865,,,
16,108308,,0.507947,,,
17,108036,,0.507987,,,
18,108036,,0.507987,,,
19,108036,,0.507987,,,
0,112747,,,0.496262,,
0,685961,,,,0.0435529,
1,623610,,,,0.0452076,
2,571652,,,,0.045371,
3,527687,,,,0.0454527,
4,490002,,,,0.046658,
5,457342,,,,0.0469031,
6,428765,,,,0.0469848,
7,403550,,,,0.0471891,
8,381136,,,,0.0482105,
9,361082,,,,0.0486599,
0,455580,,,,,0.0131966
