,alpha,n,FPR,Query time
0,0.25,262144,0.00387901,9.42729e-08
1,0.28125,294912,0.00433801,9.50493e-08
2,0.3125,327680,0.00481901,9.23909e-08
3,0.34375,360448,0.00529301,9.13673e-08
4,0.375,393216,0.00577601,9.22752e-08
5,0.40625,425984,0.00628001,9.50743e-08
6,0.4375,458752,0.00677001,9.63585e-08
7,0.46875,491520,0.00725401,9.63465e-08
8,0.5,524288,0.00773802,9.7914e-08
9,0.53125,557056,0.00821302,1.00632e-07
10,0.5625,589824,0.00871302,1.05542e-07
11,0.59375,622592,0.00919602,1.06866e-07
12,0.625,655360,0.00967102,1.08984e-07
13,0.65625,688128,0.010163,1.16366e-07
14,0.6875,720896,0.010652,1.18976e-07
15,0.71875,753664,0.011127,1.28021e-07
16,0.75,786432,0.011608,1.39919e-07
17,0.78125,819200,0.012073,1.56675e-07
18,0.8125,851968,0.012533,1.8326e-07
19,0.84375,884736,0.013001,2.26463e-07
20,0.875,917504,0.013487,2.88423e-07
21,0.90625,950272,0.013944,4.12503e-07
22,0.9375,983040,0.014413,6.91913e-07
