,alpha,n,FPR,Query time
0,0.25,262144,0.015467,8.90229e-08
1,0.28125,294912,0.016963,8.98277e-08
2,0.3125,327680,0.018835,9.07857e-08
3,0.34375,360448,0.020733,9.14446e-08
4,0.375,393216,0.022513,9.23249e-08
5,0.40625,425984,0.024403,9.31744e-08
6,0.4375,458752,0.0262771,9.39909e-08
7,0.46875,491520,0.0281641,9.52559e-08
8,0.5,524288,0.0299991,9.67639e-08
9,0.53125,557056,0.0319431,9.82558e-08
10,0.5625,589824,0.0337811,1.00654e-07
11,0.59375,622592,0.0355951,1.02391e-07
12,0.625,655360,0.0374251,1.05391e-07
13,0.65625,688128,0.0392821,1.09656e-07
14,0.6875,720896,0.0411791,1.14334e-07
15,0.71875,753664,0.0430281,1.2152e-07
16,0.75,786432,0.0448451,1.30528e-07
17,0.78125,819200,0.0466561,1.43724e-07
18,0.8125,851968,0.0484632,1.62073e-07
19,0.84375,884736,0.0502422,1.93986e-07
20,0.875,917504,0.0521142,2.38075e-07
21,0.90625,950272,0.0539833,3.19072e-07
22,0.9375,983040,0.0557873,4.81924e-07
