,alpha,n,FPR,Query time
0,0.25,262144,0.000979001,9.0618e-08
1,0.28125,294912,0.001083,9.02491e-08
2,0.3125,327680,0.001212,9.11239e-08
3,0.34375,360448,0.00133,9.33959e-08
4,0.375,393216,0.001426,9.28772e-08
5,0.40625,425984,0.001543,9.55227e-08
6,0.4375,458752,0.001661,9.51334e-08
7,0.46875,491520,0.001799,9.82338e-08
8,0.5,524288,0.001919,9.85666e-08
9,0.53125,557056,0.002035,1.02545e-07
10,0.5625,589824,0.002152,1.07702e-07
11,0.59375,622592,0.002286,1.0996e-07
12,0.625,655360,0.002408,1.1105e-07
13,0.65625,688128,0.002531,1.16061e-07
14,0.6875,720896,0.002645,1.23097e-07
15,0.71875,753664,0.002758,1.33717e-07
16,0.75,786432,0.002881,1.47439e-07
17,0.78125,819200,0.002996,1.62635e-07
18,0.8125,851968,0.003105,1.93689e-07
19,0.84375,884736,0.003217,2.37027e-07
20,0.875,917504,0.00334901,3.17929e-07
21,0.90625,950272,0.00346101,4.61461e-07
22,0.9375,983040,0.00358401,8.26685e-07
