,n,FPR,Query time
0,262144,0.01543,8.85519e-08
1,270336,0.015492,9.35946e-08
2,278528,0.016,9.01655e-08
3,286720,0.016486,1.00219e-07
4,294912,0.016948,8.85205e-08
5,303104,0.017431,8.862e-08
6,311296,0.017889,8.8838e-08
7,319488,0.018356,8.90033e-08
8,327680,0.018849,8.90968e-08
9,335872,0.019319,8.92891e-08
10,344064,0.019821,8.94337e-08
11,352256,0.020299,8.96402e-08
12,360448,0.020762,8.9715e-08
13,368640,0.021233,9.03518e-08
14,376832,0.021667,9.25138e-08
15,385024,0.022144,9.50607e-08
16,393216,0.02259,9.52905e-08
17,401408,0.023069,9.18046e-08
18,409600,0.023514,9.73027e-08
19,417792,0.024021,9.2743e-08
20,425984,0.024463,9.59616e-08
21,434176,0.024936,9.84958e-08
22,442368,0.0254341,9.60799e-08
23,450560,0.0259361,9.39687e-08
24,458752,0.0263951,9.792e-08
25,466944,0.0268611,9.55554e-08
26,475136,0.0273241,9.40138e-08
27,483328,0.0277621,9.78985e-08
28,491520,0.0282211,1.00395e-07
29,499712,0.0286881,1.05067e-07
30,507904,0.0291731,9.77869e-08
31,516096,0.0296151,9.96386e-08
32,524288,0.0300671,9.73489e-08
33,532480,0.0305501,9.62536e-08
34,540672,0.0310591,1.04037e-07
35,548864,0.0315131,1.04258e-07
36,557056,0.0320011,1.00157e-07
37,565248,0.0324341,1.08051e-07
38,573440,0.0328741,9.83476e-08
39,581632,0.0333171,9.85668e-08
40,589824,0.0337881,1.02317e-07
41,598016,0.0342571,1.01094e-07
42,606208,0.0346931,1.05124e-07
43,614400,0.0351211,1.0287e-07
44,622592,0.0355601,1.07262e-07
45,630784,0.0360221,1.10287e-07
46,638976,0.0365251,1.21321e-07
47,647168,0.0369771,1.11167e-07
48,655360,0.0374701,1.053e-07
49,663552,0.0379491,1.09514e-07
50,671744,0.0384451,1.15991e-07
