,n,q,QF size,BF size,QF FPR,BF FPR
0,26214,16,49152,20434,0.048702,0.049971
1,58982,17,98304,45973,0.0538631,0.047846
2,91750,17,98304,71513,0.0826511,0.047708
3,124518,18,196608,97052,0.0569141,0.047351
4,157286,18,196608,122592,0.0711241,0.047459
5,190054,18,196608,148131,0.0851691,0.047559
6,222822,19,393216,173671,0.0508131,0.047249
7,255590,19,393216,199210,0.0581401,0.047072
8,288358,19,393216,224749,0.0653131,0.047686
9,321126,19,393216,250289,0.0724321,0.047862
10,353894,19,393216,275828,0.0793531,0.047375
11,386662,19,393216,301368,0.0863921,0.047844
12,419430,20,786432,326907,0.047946,0.04702
13,452198,20,786432,352447,0.0516471,0.047617
14,484966,20,786432,377986,0.0551751,0.047562
15,517734,20,786432,403526,0.0588611,0.046851
16,550502,20,786432,429065,0.0624371,0.047169
17,583270,20,786432,454605,0.0660751,0.047188
18,616038,20,786432,480144,0.0696921,0.046744
19,648806,20,786432,505684,0.0732341,0.0468
20,681574,20,786432,531223,0.0766471,0.046777
21,714342,20,786432,556763,0.0801701,0.046899
22,747110,20,786432,582302,0.0836331,0.047064
23,779878,20,786432,607842,0.0870221,0.047191
24,812646,21,1572864,633381,0.04628,0.046767
25,845414,21,1572864,658921,0.048097,0.047266
26,878182,21,1572864,684460,0.049883,0.047138
27,910950,21,1572864,710000,0.0517301,0.04695
28,943718,21,1572864,735539,0.0536581,0.047373
29,976486,21,1572864,761079,0.0553971,0.046837
