,n,q,QF size,BF size,QF FPR,BF FPR
0,26214,16,49152,16425,0.049038,0.0917121
1,58982,17,98304,36953,0.0536921,0.0872331
2,91750,17,98304,57482,0.0823801,0.0872321
3,124518,18,196608,78010,0.0567371,0.0862441
4,157286,18,196608,98539,0.0712061,0.0867541
5,190054,18,196608,119067,0.0854021,0.0870941
6,222822,19,393216,139595,0.0508941,0.0864071
7,255590,19,393216,160124,0.0580711,0.0857621
8,288358,19,393216,180652,0.0652661,0.0864271
9,321126,19,393216,201181,0.0721911,0.0861741
10,353894,19,393216,221709,0.0791251,0.0866731
11,386662,19,393216,242238,0.0862171,0.0861301
12,419430,20,786432,262766,0.047725,0.0865441
13,452198,20,786432,283294,0.0513581,0.0864481
14,484966,20,786432,303823,0.0549361,0.0859231
15,517734,20,786432,324351,0.0585701,0.0867531
16,550502,20,786432,344880,0.0621831,0.0864771
17,583270,20,786432,365408,0.0656771,0.0870501
18,616038,20,786432,385937,0.0692871,0.0864951
19,648806,20,786432,406465,0.0728481,0.0858841
20,681574,20,786432,426993,0.0763591,0.0860451
21,714342,20,786432,447522,0.0798561,0.0861121
22,747110,20,786432,468050,0.0833531,0.0861911
23,779878,20,786432,488579,0.0868771,0.0864521
24,812646,21,1572864,509107,0.046306,0.0857711
25,845414,21,1572864,529636,0.048153,0.0861271
26,878182,21,1572864,550164,0.049967,0.0864031
27,910950,21,1572864,570692,0.0517601,0.0863081
28,943718,21,1572864,591221,0.0535261,0.0857231
29,976486,21,1572864,611749,0.0553331,0.0863751
