,n,q,QF size,BF size,QF FPR,BF FPR
0,26214,15,24576,16425,0.0949891,0.0909361
1,58982,16,49152,36953,0.102639,0.0823511
2,91750,17,98304,57482,0.0805731,0.0822031
3,124518,18,196608,78010,0.0555241,0.0819621
4,157286,18,196608,98539,0.0694611,0.0820521
5,190054,18,196608,119067,0.0831111,0.0811411
6,222822,18,196608,139595,0.0965441,0.0817511
7,255590,19,393216,160124,0.0566121,0.0815811
8,288358,19,393216,180652,0.0636541,0.0812821
9,321126,19,393216,201181,0.0706701,0.0811001
10,353894,19,393216,221709,0.0775011,0.0815711
11,386662,19,393216,242238,0.0843331,0.0816521
12,419430,19,393216,262766,0.0912791,0.0817381
13,452198,19,393216,283294,0.0980891,0.0815011
14,484966,19,393216,303823,0.104773,0.0809941
15,517734,20,786432,324351,0.0573601,0.0811471
16,550502,20,786432,344880,0.0609051,0.0817241
17,583270,20,786432,365408,0.0644741,0.0815411
18,616038,20,786432,385937,0.0679171,0.0812691
19,648806,20,786432,406465,0.0714241,0.0813251
20,681574,20,786432,426993,0.0749621,0.0812881
21,714342,20,786432,447522,0.0783901,0.0813471
22,747110,20,786432,468050,0.0819001,0.0812441
23,779878,20,786432,488579,0.0853041,0.0808901
24,812646,20,786432,509107,0.0886951,0.0810111
25,845414,20,786432,529636,0.0921141,0.0814511
26,878182,20,786432,550164,0.0954421,0.0809881
27,910950,20,786432,570692,0.0988511,0.0811861
28,943718,20,786432,591221,0.102178,0.0810471
29,976486,20,786432,611749,0.105529,0.0818041
