,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,CHaREQ,Bloomed CHaREQ sat.=0.5,Bloomed CHaREQ sat.=0.7,SuRF Base,FST
0,12534,0.999585,,,,,,,,
1,137534,0.993553,,,,,,,,
2,262534,0.970365,,,,,,,,
3,387534,0.935501,,,,,,,,
4,512534,0.905091,,,,,,,,
5,637534,0.882485,,,,,,,,
6,762534,0.869203,,,,,,,,
7,887534,0.86378,,,,,,,,
0,901590,,0.0,,,,,,,
1,782117,,0.215966,,,,,,,
2,610588,,0.479054,,,,,,,
3,481997,,0.650221,,,,,,,
4,367496,,0.776812,,,,,,,
5,288111,,0.844272,,,,,,,
6,212583,,0.865993,,,,,,,
7,197944,,0.872524,,,,,,,
8,194860,,0.873271,,,,,,,
9,194836,,0.873298,,,,,,,
10,194836,,0.873298,,,,,,,
0,194836,,,0.873298,,,,,,
1,194836,,,0.873298,,,,,,
2,204056,,,0.856253,,,,,,
3,226002,,,0.814582,,,,,,
4,301079,,,0.746154,,,,,,
5,355715,,,0.65606,,,,,,
6,427964,,,0.545739,,,,,,
7,512632,,,0.430908,,,,,,
8,602912,,,0.314361,,,,,,
9,693307,,,0.208273,,,,,,
10,770755,,,0.123769,,,,,,
11,829126,,,0.0619812,,,,,,
12,866972,,,0.0280852,,,,,,
13,887740,,,0.010238,,,,,,
14,897770,,,0.00268401,,,,,,
0,211693,,,,0.853071,,,,,
0,898097,,,,,0.528362,,,,
1,853048,,,,,0.541616,,,,
2,815343,,,,,0.555562,,,,
3,783456,,,,,0.567294,,,,
4,755894,,,,,0.581738,,,,
5,732204,,,,,0.587604,,,,
6,711249,,,,,0.601439,,,,
7,692798,,,,,0.620255,,,,
8,676245,,,,,0.627089,,,,
9,661634,,,,,0.635944,,,,
0,149457,,,,,,0.999585,,,
1,274457,,,,,,0.999585,,,
2,399457,,,,,,0.999557,,,
3,524457,,,,,,0.999557,,,
4,649457,,,,,,0.999557,,,
5,774457,,,,,,0.999557,,,
6,899457,,,,,,0.999557,,,
7,1024457,,,,,,0.999557,,,
0,127816,,,,,,,0.999585,,
1,252816,,,,,,,0.999585,,
2,377816,,,,,,,0.999585,,
3,502816,,,,,,,0.999585,,
4,627816,,,,,,,0.999585,,
5,752816,,,,,,,0.999585,,
6,877816,,,,,,,0.999585,,
7,1002816,,,,,,,0.999585,,
0,211693,,,,0.853071,,,,,
1,224197,,,,0.853071,,,,,
2,274364,,,,0.85119,,,,,
3,286868,,,,0.85119,,,,,
4,299364,,,,0.792557,,,,,
5,311868,,,,0.761262,,,,,
6,324364,,,,0.743525,,,,,
7,336860,,,,0.733924,,,,,
8,349364,,,,0.729635,,,,,
0,211693,,,,,,,,0.853071,
0,905455,,,,,,,,,0.0123962
