,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,CHaREQ,Bloomed CHaREQ sat.=0.5,Bloomed CHaREQ sat.=0.7,SuRF Base,FST
0,12534,0.999849,,,,,,,,
1,137534,0.983547,,,,,,,,
2,262534,0.93899,,,,,,,,
3,387534,0.899451,,,,,,,,
4,512534,0.882976,,,,,,,,
5,637534,0.876343,,,,,,,,
6,762534,0.873996,,,,,,,,
7,887534,0.873371,,,,,,,,
0,554769,,0.0,,,,,,,
1,538187,,0.0368041,,,,,,,
2,508803,,0.0698396,,,,,,,
3,383488,,0.300162,,,,,,,
4,326570,,0.380812,,,,,,,
5,252256,,0.508603,,,,,,,
6,236790,,0.529945,,,,,,,
7,233781,,0.53324,,,,,,,
8,233298,,0.533649,,,,,,,
9,232890,,0.533649,,,,,,,
10,232890,,0.533649,,,,,,,
0,232890,,,0.533649,,,,,,
1,232890,,,0.533649,,,,,,
2,233303,,,0.53268,,,,,,
3,234701,,,0.529321,,,,,,
4,238237,,,0.522946,,,,,,
5,258137,,,0.481404,,,,,,
6,289740,,,0.422505,,,,,,
7,331461,,,0.350878,,,,,,
8,377459,,,0.279961,,,,,,
9,440763,,,0.171681,,,,,,
10,489364,,,0.0936793,,,,,,
11,523561,,,0.0426833,,,,,,
12,541967,,,0.0168407,,,,,,
13,550288,,,0.0056423,,,,,,
14,553359,,,0.00174437,,,,,,
0,452478,,,,0.111834,,,,,
0,575538,,,,,0.517002,,,,
1,546477,,,,,0.531388,,,,
2,522329,,,,,0.544482,,,,
3,501634,,,,,0.558501,,,,
4,484108,,,,,0.569872,,,,
5,468776,,,,,0.587768,,,,
6,455288,,,,,0.59733,,,,
7,443272,,,,,0.607925,,,,
8,432736,,,,,0.623861,,,,
9,423132,,,,,0.632023,,,,
0,146188,,,,,,0.999849,,,
1,271188,,,,,,0.999828,,,
2,396188,,,,,,0.999828,,,
3,521188,,,,,,0.999828,,,
4,646188,,,,,,0.999828,,,
5,771188,,,,,,0.999828,,,
6,896188,,,,,,0.999828,,,
7,1021188,,,,,,0.999828,,,
0,123489,,,,,,,0.999849,,
1,248489,,,,,,,0.999849,,
2,373489,,,,,,,0.999849,,
3,498489,,,,,,,0.999849,,
4,623489,,,,,,,0.999849,,
5,748489,,,,,,,0.999849,,
6,873489,,,,,,,0.999849,,
7,998489,,,,,,,0.999849,,
0,452478,,,,0.111834,,,,,
1,464990,,,,0.111834,,,,,
2,477486,,,,0.111575,,,,,
3,489990,,,,0.111575,,,,,
4,502486,,,,0.104533,,,,,
5,514982,,,,0.101066,,,,,
6,527486,,,,0.0997954,,,,,
7,539982,,,,0.0988048,,,,,
8,552478,,,,0.0982664,,,,,
0,452478,,,,,,,,0.111834,
0,554797,,,,,,,,,0.000150748
