,Memory usage,RangeBF,LilRosetta p=0.2,LilRosetta p=0.5,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,0.934698,,,,,,,,
1,25034,0.752135,,,,,,,,
2,37534,0.598932,,,,,,,,
3,50034,0.492527,,,,,,,,
4,62534,0.429893,,,,,,,,
5,75034,0.406228,,,,,,,,
6,87534,0.392705,,,,,,,,
7,100034,0.380961,,,,,,,,
0,501917,,0.0339858,,,,,,,
1,1505359,,0.0,,,,,,,
2,2508802,,0.0,,,,,,,
3,3512248,,0.0,,,,,,,
4,4515686,,0.0,,,,,,,
0,316997,,,0.0339858,,,,,,
1,950605,,,0.0,,,,,,
2,1584220,,,0.0,,,,,,
3,2217821,,,0.0,,,,,,
4,2851434,,,0.0,,,,,,
0,132084,,,,0.180071,,,,,
1,395855,,,,0.0,,,,,
2,659631,,,,0.0,,,,,
3,923404,,,,0.0,,,,,
4,1187171,,,,0.0,,,,,
0,90179,,,,,0.000533808,,,,
1,78667,,,,,0.173132,,,,
2,58430,,,,,0.440214,,,,
3,49358,,,,,0.555694,,,,
4,35799,,,,,0.703737,,,,
5,27469,,,,,0.771174,,,,
6,25198,,,,,0.785409,,,,
7,23343,,,,,0.795907,,,,
8,23158,,,,,0.796619,,,,
9,23129,,,,,0.796619,,,,
10,23129,,,,,0.796619,,,,
0,23129,,,,,,0.796619,,,
1,23129,,,,,,0.796619,,,
2,24003,,,,,,0.778292,,,
3,25795,,,,,,0.747331,,,
4,29075,,,,,,0.69573,,,
5,33801,,,,,,0.625267,,,
6,40274,,,,,,0.540391,,,
7,48283,,,,,,0.436833,,,
8,58175,,,,,,0.32331,,,
9,67711,,,,,,0.222064,,,
10,76605,,,,,,0.128292,,,
11,83578,,,,,,0.0576512,,,
12,87990,,,,,,0.0190391,,,
13,89950,,,,,,0.00266904,,,
14,90179,,,,,,0.000533808,,,
0,25365,,,,,,,0.76726,,
0,25365,,,,,,,0.76726,,
1,26629,,,,,,,0.76726,,
2,27877,,,,,,,0.76726,,
3,29125,,,,,,,0.745018,,
4,30373,,,,,,,0.745018,,
5,31629,,,,,,,0.702491,,
6,32877,,,,,,,0.664591,,
7,34125,,,,,,,0.643772,,
8,35373,,,,,,,0.631673,,
0,25365,,,,,,,,0.76726,
0,90806,,,,,,,,,0.00836299
