,Memory usage,RangeBF,LilRosetta p=0.2,LilRosetta p=0.5,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,0.64728,,,,,,,,
1,25034,0.392537,,,,,,,,
2,37534,0.195956,,,,,,,,
3,50034,0.0819262,,,,,,,,
4,62534,0.0429435,,,,,,,,
5,75034,0.0135501,,,,,,,,
6,87534,0.00562852,,,,,,,,
7,100034,0.00291849,,,,,,,,
0,506058,,0.0,,,,,,,
1,1517907,,0.0,,,,,,,
2,2529773,,0.0,,,,,,,
3,3541637,,0.0,,,,,,,
4,4553484,,0.0,,,,,,,
0,327456,,,0.0,,,,,,
1,982099,,,0.0,,,,,,
2,1636739,,,0.0,,,,,,
3,2291384,,,0.0,,,,,,
4,2946024,,,0.0,,,,,,
0,148836,,,,0.0,,,,,
1,446271,,,,0.0,,,,,
2,743709,,,,0.0,,,,,
3,1041133,,,,0.0,,,,,
4,1338565,,,,0.0,,,,,
0,75324,,,,,0.0,,,,
1,73633,,,,,0.433187,,,,
2,70255,,,,,0.433187,,,,
3,52205,,,,,0.693142,,,,
4,48074,,,,,0.695643,,,,
5,25322,,,,,0.776527,,,,
6,18843,,,,,0.830728,,,,
7,17786,,,,,0.854909,,,,
8,17156,,,,,0.869919,,,,
9,17068,,,,,0.869919,,,,
10,17068,,,,,0.869919,,,,
0,17068,,,,,,0.869919,,,
1,17068,,,,,,0.869919,,,
2,17068,,,,,,0.869919,,,
3,17068,,,,,,0.869919,,,
4,17068,,,,,,0.869919,,,
5,17093,,,,,,0.869085,,,
6,17210,,,,,,0.865124,,,
7,17885,,,,,,0.847405,,,
8,20155,,,,,,0.795706,,,
9,30576,,,,,,0.63769,,,
10,47055,,,,,,0.406296,,,
11,62107,,,,,,0.189285,,,
12,73516,,,,,,0.0579529,,,
13,76832,,,,,,0.0127163,,,
14,77439,,,,,,0.00187617,,,
0,59704,,,,,,,0.465708,,
0,59704,,,,,,,0.465708,,
1,60968,,,,,,,0.465708,,
2,62216,,,,,,,0.465708,,
3,63464,,,,,,,0.465708,,
4,64712,,,,,,,0.465708,,
5,65968,,,,,,,0.458203,,
6,67216,,,,,,,0.446529,,
7,68464,,,,,,,0.44236,,
8,69712,,,,,,,0.440692,,
0,59704,,,,,,,,0.465708,
0,75292,,,,,,,,,0.0
