,Memory usage,RangeBF,LilRosetta p=0.2,LilRosetta p=0.5,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,0.0324097,,,,,,,,
1,25034,0.00250075,,,,,,,,
2,37534,0.00050015,,,,,,,,
3,50034,0.00030009,,,,,,,,
4,62534,0.00010003,,,,,,,,
5,75034,0.00020006,,,,,,,,
6,87534,0.00010003,,,,,,,,
7,100034,0.00010003,,,,,,,,
0,503577,,0.00330099,,,,,,,
1,1510482,,0.0,,,,,,,
2,2517384,,0.0,,,,,,,
3,3524295,,0.0,,,,,,,
4,4531192,,0.0,,,,,,,
0,321251,,,0.00330099,,,,,,
1,963517,,,0.0,,,,,,
2,1605773,,,0.0,,,,,,
3,2248040,,,0.0,,,,,,
4,2890302,,,0.0,,,,,,
0,138934,,,,0.00390117,,,,,
1,416553,,,,0.0,,,,,
2,694172,,,,0.0,,,,,
3,971791,,,,0.0,,,,,
4,1249406,,,,0.0,,,,,
0,127484,,,,,0.0,,,,
1,114286,,,,,0.00020006,,,,
2,84608,,,,,0.00160048,,,,
3,71493,,,,,0.00590177,,,,
4,46248,,,,,0.0654196,,,,
5,28385,,,,,0.309993,,,,
6,24703,,,,,0.421827,,,,
7,23079,,,,,0.485146,,,,
8,23005,,,,,0.488647,,,,
9,22925,,,,,0.489647,,,,
10,22925,,,,,0.489647,,,,
0,22925,,,,,,0.489647,,,
1,22925,,,,,,0.489647,,,
2,22929,,,,,,0.489647,,,
3,22949,,,,,,0.489647,,,
4,23147,,,,,,0.489647,,,
5,23907,,,,,,0.489547,,,
6,26972,,,,,,0.486946,,,
7,37148,,,,,,0.463739,,,
8,60863,,,,,,0.36791,,,
9,92066,,,,,,0.217465,,,
10,113299,,,,,,0.0879264,,,
11,123415,,,,,,0.0236071,,,
12,126020,,,,,,0.00680204,,,
13,126740,,,,,,0.00140042,,,
14,127336,,,,,,0.0,,,
0,22903,,,,,,,0.489147,,
0,22903,,,,,,,0.489147,,
1,24167,,,,,,,0.489147,,
2,25415,,,,,,,0.489147,,
3,26663,,,,,,,0.489147,,
4,27911,,,,,,,0.489147,,
5,29159,,,,,,,0.359908,,
6,30407,,,,,,,0.230569,,
7,31655,,,,,,,0.168751,,
8,32903,,,,,,,0.131039,,
0,22903,,,,,,,,0.489147,
0,127452,,,,,,,,,0.0
