,Memory usage,RangeBF,LilRosetta p=0.2,LilRosetta p=0.5,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,0.970136,,,,,,,,
1,25034,0.867254,,,,,,,,
2,37534,0.715395,,,,,,,,
3,50034,0.600418,,,,,,,,
4,62534,0.511124,,,,,,,,
5,75034,0.453636,,,,,,,,
6,87534,0.417351,,,,,,,,
7,100034,0.396595,,,,,,,,
0,503577,,0.00164253,,,,,,,
1,1510482,,0.0,,,,,,,
2,2517384,,0.0,,,,,,,
3,3524295,,0.0,,,,,,,
4,4531192,,0.0,,,,,,,
0,321251,,,0.00164253,,,,,,
1,963517,,,0.0,,,,,,
2,1605773,,,0.0,,,,,,
3,2248040,,,0.0,,,,,,
4,2890302,,,0.0,,,,,,
0,138934,,,,0.00179185,,,,,
1,416553,,,,0.0,,,,,
2,694172,,,,0.0,,,,,
3,971791,,,,0.0,,,,,
4,1249406,,,,0.0,,,,,
0,127484,,,,,0.0,,,,
1,114286,,,,,0.160818,,,,
2,84608,,,,,0.443034,,,,
3,71493,,,,,0.571002,,,,
4,46248,,,,,0.773033,,,,
5,28385,,,,,0.883829,,,,
6,24703,,,,,0.90324,,,,
7,23079,,,,,0.913095,,,,
8,23005,,,,,0.913543,,,,
9,22925,,,,,0.913543,,,,
10,22925,,,,,0.913543,,,,
0,22925,,,,,,0.913543,,,
1,22925,,,,,,0.913543,,,
2,22929,,,,,,0.913543,,,
3,22949,,,,,,0.913095,,,
4,23147,,,,,,0.910408,,,
5,23907,,,,,,0.900552,,,
6,26972,,,,,,0.866059,,,
7,37148,,,,,,0.764671,,,
8,60863,,,,,,0.538301,,,
9,92066,,,,,,0.284456,,,
10,113299,,,,,,0.109004,,,
11,123415,,,,,,0.0271763,,,
12,126020,,,,,,0.00686875,,,
13,126740,,,,,,0.000895924,,,
14,127336,,,,,,0.0,,,
0,22903,,,,,,,0.913095,,
0,22903,,,,,,,0.913095,,
1,24167,,,,,,,0.913095,,
2,25415,,,,,,,0.913095,,
3,26663,,,,,,,0.898611,,
4,27911,,,,,,,0.898611,,
5,29159,,,,,,,0.868299,,
6,30407,,,,,,,0.844408,,
7,31655,,,,,,,0.83082,,
8,32903,,,,,,,0.822607,,
0,22903,,,,,,,,0.913095,
0,127452,,,,,,,,,0.0
