,Memory usage,RangeBF,LilRosetta p=0.2,LilRosetta p=0.5,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,0.453756,,,,,,,,
1,25034,0.21456,,,,,,,,
2,37534,0.122173,,,,,,,,
3,50034,0.0776454,,,,,,,,
4,62534,0.0554321,,,,,,,,
5,75034,0.0397819,,,,,,,,
6,87534,0.0332189,,,,,,,,
7,100034,0.0288772,,,,,,,,
0,502881,,0.0049475,,,,,,,
1,1508426,,0.0,,,,,,,
2,2513945,,0.0,,,,,,,
3,3519463,,0.0,,,,,,,
4,4525011,,0.0,,,,,,,
0,319534,,,0.0049475,,,,,,
1,958360,,,0.0,,,,,,
2,1597184,,,0.0,,,,,,
3,2236011,,,0.0,,,,,,
4,2874804,,,0.0,,,,,,
0,136183,,,,0.00595719,,,,,
1,408289,,,,0.0,,,,,
2,680397,,,,0.0,,,,,
3,952525,,,,0.0,,,,,
4,1224629,,,,0.0,,,,,
0,160535,,,,,0.0,,,,
1,147319,,,,,0.0,,,,
2,120919,,,,,0.0,,,,
3,107719,,,,,0.0,,,,
4,75767,,,,,0.0,,,,
5,49367,,,,,0.000807754,,,,
6,36321,,,,,0.00959208,,,,
7,19647,,,,,0.404483,,,,
8,19646,,,,,0.405695,,,,
9,19646,,,,,0.405695,,,,
10,19646,,,,,0.405695,,,,
0,19646,,,,,,0.405695,,,
1,19646,,,,,,0.405695,,,
2,19646,,,,,,0.405695,,,
3,19646,,,,,,0.405695,,,
4,19646,,,,,,0.405695,,,
5,19646,,,,,,0.405695,,,
6,19646,,,,,,0.405695,,,
7,19658,,,,,,0.405695,,,
8,19734,,,,,,0.405695,,,
9,20834,,,,,,0.405695,,,
10,30854,,,,,,0.404786,,,
11,108354,,,,,,0.352888,,,
12,160503,,,,,,0.00121163,,,
13,160535,,,,,,0.0,,,
14,160535,,,,,,0.0,,,
0,19598,,,,,,,0.405695,,
0,19598,,,,,,,0.405695,,
1,20854,,,,,,,0.405695,,
2,22102,,,,,,,0.405695,,
3,23350,,,,,,,0.405089,,
4,24598,,,,,,,0.405089,,
5,25854,,,,,,,0.278978,,
6,27102,,,,,,,0.146204,,
7,28350,,,,,,,0.0768376,,
8,29598,,,,,,,0.036248,,
0,19598,,,,,,,,0.405695,
0,160503,,,,,,,,,0.0
