,Memory usage,RangeBF,LilRosetta p=0.2,LilRosetta p=0.5,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,0.155607,,,,,,,,
1,25034,0.0451762,,,,,,,,
2,37534,0.0168658,,,,,,,,
3,50034,0.0102399,,,,,,,,
4,62534,0.00722819,,,,,,,,
5,75034,0.00612388,,,,,,,,
6,87534,0.00562193,,,,,,,,
7,100034,0.00451762,,,,,,,,
0,503577,,0.000702741,,,,,,,
1,1510482,,0.0,,,,,,,
2,2517384,,0.0,,,,,,,
3,3524295,,0.0,,,,,,,
4,4531192,,0.0,,,,,,,
0,321251,,,0.000702741,,,,,,
1,963517,,,0.0,,,,,,
2,1605773,,,0.0,,,,,,
3,2248040,,,0.0,,,,,,
4,2890302,,,0.0,,,,,,
0,138934,,,,0.000702741,,,,,
1,416553,,,,0.0,,,,,
2,694172,,,,0.0,,,,,
3,971791,,,,0.0,,,,,
4,1249406,,,,0.0,,,,,
0,127484,,,,,0.0,,,,
1,114286,,,,,0.0,,,,
2,84608,,,,,0.0,,,,
3,71493,,,,,0.0,,,,
4,46248,,,,,0.0,,,,
5,28385,,,,,0.000301175,,,,
6,24703,,,,,0.00311214,,,,
7,23079,,,,,0.0313222,,,,
8,23005,,,,,0.0780042,,,,
9,22925,,,,,0.239534,,,,
10,22925,,,,,0.239534,,,,
0,22925,,,,,,0.239534,,,
1,22925,,,,,,0.239534,,,
2,22929,,,,,,0.239534,,,
3,22949,,,,,,0.239534,,,
4,23147,,,,,,0.239534,,,
5,23907,,,,,,0.239534,,,
6,26972,,,,,,0.239534,,,
7,37148,,,,,,0.239534,,,
8,60863,,,,,,0.239534,,,
9,92066,,,,,,0.239434,,,
10,113299,,,,,,0.237526,,,
11,123415,,,,,,0.229093,,,
12,126020,,,,,,0.213232,,,
13,126740,,,,,,0.16926,,,
14,127336,,,,,,0.0965766,,,
0,22903,,,,,,,0.239534,,
0,22903,,,,,,,0.239534,,
1,24167,,,,,,,0.239534,,
2,25415,,,,,,,0.239534,,
3,26663,,,,,,,0.239233,,
4,27911,,,,,,,0.239233,,
5,29159,,,,,,,0.176288,,
6,30407,,,,,,,0.0934645,,
7,31655,,,,,,,0.0483887,,
8,32903,,,,,,,0.024094,,
0,22903,,,,,,,,0.239534,
0,127452,,,,,,,,,0.0
