,Memory usage,RangeBF,SuRF Real,SuRF Hash,SuRF Mixed,SuRF Base,FST
0,12534,0.99965,,,,,
1,75034,0.227672,,,,,
2,137534,0.0332576,,,,,
3,200034,0.0095822,,,,,
4,262534,0.00472109,,,,,
5,325034,0.00269062,,,,,
6,387534,0.0017404,,,,,
7,450034,0.00125029,,,,,
0,164053,,0.195895,,,,
1,176557,,0.195895,,,,
2,189053,,0.195885,,,,
3,201557,,0.195885,,,,
4,214053,,0.100393,,,,
5,250543,,0.0528922,,,,
6,263047,,0.0278764,,,,
7,275551,,0.0137332,,,,
8,288047,,0.00707163,,,,
0,164053,,,0.195895,,,
1,176557,,,0.195895,,,
2,189053,,,0.195895,,,
3,201557,,,0.195895,,,
4,214053,,,0.195895,,,
5,250543,,,0.195895,,,
6,263047,,,0.195895,,,
7,275551,,,0.195895,,,
8,288047,,,0.195895,,,
0,164053,,,,0.195895,,
1,189053,,,,0.195895,,
2,214053,,,,0.195885,,
3,263047,,,,0.195885,,
4,288047,,,,0.100393,,
5,313047,,,,0.0528922,,
6,338047,,,,0.0278764,,
7,363047,,,,0.0137332,,
8,388047,,,,0.00707163,,
0,164053,,,,,0.195895,
0,1414394,,,,,,1.00023e-05
