,Memory usage,RangeBF,SuRF Real,SuRF Hash,SuRF Mixed,SuRF Base,FST
0,12534,1.0,,,,,
1,75034,0.998932,,,,,
2,137534,0.99458,,,,,
3,200034,0.986182,,,,,
4,262534,0.973207,,,,,
5,325034,0.957521,,,,,
6,387534,0.938878,,,,,
7,450034,0.922494,,,,,
0,211693,,0.952511,,,,
1,224197,,0.952511,,,,
2,274364,,0.952162,,,,
3,286868,,0.952162,,,,
4,299364,,0.919168,,,,
5,311868,,0.901757,,,,
6,324364,,0.892272,,,,
7,336860,,0.88718,,,,
8,349364,,0.884388,,,,
0,211693,,,0.952511,,,
1,224197,,,0.952511,,,
2,274364,,,0.952511,,,
3,286868,,,0.952511,,,
4,299364,,,0.952511,,,
5,311868,,,0.952511,,,
6,324364,,,0.952511,,,
7,336860,,,0.952511,,,
8,349364,,,0.952511,,,
0,211693,,,,0.952511,,
1,274364,,,,0.952511,,
2,299364,,,,0.952162,,
3,324364,,,,0.952162,,
4,349364,,,,0.919168,,
5,374364,,,,0.901757,,
6,399364,,,,0.892272,,
7,424364,,,,0.88718,,
8,449356,,,,0.884388,,
0,211693,,,,,0.952511,
0,905455,,,,,,0.0227077
