,Memory usage,RangeBF,SuRF Real,SuRF Hash,SuRF Mixed,SuRF Base,FST
0,12534,0.999865,,,,,
1,75034,0.956023,,,,,
2,137534,0.886901,,,,,
3,200034,0.855682,,,,,
4,262534,0.847076,,,,,
5,325034,0.844814,,,,,
6,387534,0.844207,,,,,
7,450034,0.844072,,,,,
0,196547,,0.747038,,,,
1,209059,,0.747005,,,,
2,221555,,0.74525,,,,
3,234059,,0.74525,,,,
4,246555,,0.618617,,,,
5,259059,,0.555841,,,,
6,273845,,0.520537,,,,
7,286341,,0.500354,,,,
8,298837,,0.489824,,,,
0,196547,,,0.747005,,,
1,209059,,,0.747005,,,
2,221555,,,0.747005,,,
3,234059,,,0.747005,,,
4,246555,,,0.747005,,,
5,259059,,,0.747005,,,
6,273845,,,0.746903,,,
7,286341,,,0.746903,,,
8,298837,,,0.746903,,,
0,196547,,,,0.747038,,
1,221555,,,,0.747005,,
2,246555,,,,0.74525,,
3,273845,,,,0.745148,,
4,298837,,,,0.618482,,
5,323845,,,,0.555638,,
6,348845,,,,0.520537,,
7,373845,,,,0.500354,,
8,398837,,,,0.489824,,
0,196547,,,,,0.747005,
0,246245,,,,,,0.0
