,Memory usage,RangeBF,SuRF Real,SuRF Hash,SuRF Mixed,SuRF Base,FST
0,12534,0.999949,,,,,
1,75034,0.680935,,,,,
2,137534,0.402227,,,,,
3,200034,0.278293,,,,,
4,262534,0.214173,,,,,
5,325034,0.164735,,,,,
6,387534,0.132154,,,,,
7,450034,0.112547,,,,,
0,164053,,0.193504,,,,
1,176557,,0.193504,,,,
2,189053,,0.193443,,,,
3,201557,,0.193443,,,,
4,214053,,0.0998261,,,,
5,250543,,0.0534927,,,,
6,263047,,0.0278688,,,,
7,275551,,0.0141063,,,,
8,288047,,0.00723011,,,,
0,164053,,,0.193504,,,
1,176557,,,0.193504,,,
2,189053,,,0.193504,,,
3,201557,,,0.193504,,,
4,214053,,,0.193504,,,
5,250543,,,0.193504,,,
6,263047,,,0.193504,,,
7,275551,,,0.193504,,,
8,288047,,,0.193504,,,
0,164053,,,,0.193504,,
1,189053,,,,0.193504,,
2,214053,,,,0.193443,,
3,263047,,,,0.193443,,
4,288047,,,,0.0998261,,
5,313047,,,,0.0534927,,
6,338047,,,,0.0278688,,
7,363047,,,,0.0141063,,
8,388047,,,,0.00723011,,
0,164053,,,,,0.193504,
0,1414394,,,,,,2.02241e-05
