,Memory usage,RangeBF,SuRF Real,SuRF Hash,SuRF Mixed,SuRF Base,FST
0,12534,0.999849,,,,,
1,75034,0.996382,,,,,
2,137534,0.983547,,,,,
3,200034,0.96326,,,,,
4,262534,0.93899,,,,,
5,325034,0.916765,,,,,
6,387534,0.899451,,,,,
7,450034,0.88892,,,,,
0,452478,,0.111834,,,,
1,464990,,0.111834,,,,
2,477486,,0.111575,,,,
3,489990,,0.111575,,,,
4,502486,,0.104533,,,,
5,514982,,0.101066,,,,
6,527486,,0.0997954,,,,
7,539982,,0.0988048,,,,
8,552478,,0.0982664,,,,
0,452478,,,0.111834,,,
1,464990,,,0.111834,,,
2,477486,,,0.111834,,,
3,489990,,,0.111834,,,
4,502486,,,0.111834,,,
5,514982,,,0.111834,,,
6,527486,,,0.111834,,,
7,539982,,,0.111834,,,
8,552478,,,0.111834,,,
0,452478,,,,0.111834,,
1,477486,,,,0.111834,,
2,502486,,,,0.111575,,
3,527486,,,,0.111575,,
4,552478,,,,0.104533,,
5,577486,,,,0.101066,,
6,602486,,,,0.0997954,,
7,647305,,,,0.0988048,,
8,672305,,,,0.0982664,,
0,452478,,,,,0.111834,
0,554797,,,,,,0.000150748
