,Memory usage,RangeBF,RangeBF-KR,Splash,SuRF Real,FST
0,62534,0.305361,,,,
1,125034,0.13817,,,,
2,187534,0.0911835,,,,
3,250034,0.0632456,,,,
4,312534,0.0486208,,,,
5,375034,0.0364318,,,,
6,437534,0.0284064,,,,
7,500034,0.0231706,,,,
8,562534,0.0200375,,,,
9,625034,0.0171021,,,,
0,62534,,0.373009,,,
1,125034,,0.17329,,,
2,187534,,0.13078,,,
3,250034,,0.103456,,,
4,312534,,0.0902987,,,
5,375034,,0.0798897,,,
6,437534,,0.0721974,,,
7,500034,,0.066004,,,
8,562534,,0.0609243,,,
9,625034,,0.0566982,,,
0,901833,,,0.0202665,,
1,900946,,,0.0213698,,
2,782258,,,0.049339,,
3,695147,,,0.0733424,,
4,608341,,,0.104236,,
5,535576,,,0.135006,,
6,480429,,,0.160716,,
7,428369,,,0.188821,,
8,377933,,,0.22062,,
9,326946,,,0.258083,,
10,284515,,,0.297481,,
11,229081,,,0.3145,,
12,208388,,,0.341928,,
13,198301,,,0.35777,,
14,193546,,,0.367191,,
15,190697,,,0.373821,,
16,190278,,,0.37531,,
17,190264,,,0.375528,,
18,190264,,,0.375528,,
19,190264,,,0.375528,,
0,211432,,,,0.360279,
0,905622,,,,,0.0392943
