,Memory usage,Rosetta,SuRF Real,Splash,FST
0,3750082,0.855639,,,
1,5000002,0.655221,,,
2,6250082,0.510747,,,
3,7500002,0.364489,,,
4,8750082,0.268381,,,
5,10000002,0.204682,,,
6,11250082,0.140699,,,
7,12500002,0.104759,,,
8,13750082,0.0736037,,,
9,15000002,0.0531191,,,
0,220827,,0.499781,,
0,870338,,,0.00725325,
1,870024,,,0.00725325,
2,743521,,,0.0293701,
3,626287,,,0.0395511,
4,531036,,,0.0766539,
5,449883,,,0.125723,
6,388464,,,0.174823,
7,334618,,,0.240459,
8,286309,,,0.314012,
9,245317,,,0.402122,
10,223153,,,0.467187,
11,217574,,,0.48657,
12,212494,,,0.505718,
13,211145,,,0.511931,
14,210750,,,0.513757,
15,210558,,,0.51442,
16,210260,,,0.514481,
17,209852,,,0.514573,
18,209852,,,0.514573,
19,209852,,,0.514573,
0,871567,,,,0.0174037
