,Memory usage,Rosetta,SuRF Real,Splash,FST
0,3750034,0.547435,,,
1,5000114,0.420319,,,
2,6249986,0.319776,,,
3,7500066,0.24955,,,
4,8750146,0.200484,,,
5,10000018,0.159743,,,
6,11250098,0.125895,,,
7,12500178,0.0997419,,,
8,13750050,0.0792312,,,
9,15000130,0.0638232,,,
0,211856,,0.17346,,
0,901031,,,1.00052e-05,
1,900126,,,1.00052e-05,
2,781563,,,1.00052e-05,
3,694947,,,1.00052e-05,
4,607749,,,2.00104e-05,
5,535622,,,2.00104e-05,
6,480416,,,4.00208e-05,
7,428186,,,0.000140073,
8,378123,,,0.000160083,
9,327098,,,0.000380198,
10,284869,,,0.00122063,
11,228842,,,0.00178093,
12,208160,,,0.00848441,
13,198122,,,0.0162785,
14,193316,,,0.0428823,
15,190592,,,0.103234,
16,190172,,,0.149078,
17,190152,,,0.177412,
18,190152,,,0.177412,
19,190152,,,0.177412,
0,904952,,,,8.00416e-05
